step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,1.0,0.24598155950629338,0.0,-297.4483830027054,1.0,0.20950694767158395,0.0,0.0,1.0,0.5440919807896909,0.0,-16393.2804718355,1.0,0.47584710435049693,0.0,-238.05539867956358,1.0,0.18278673383901273,0.0,0.0,1.0,0.45015657892407046,0.0,0.0,1.0,0.2913979577828231,0.0,0.0,1.0,0.30378507609891625,0.0,0.0,1.0,0.42012234803057485,0.0,0.0,1.0,0.24598155950629344,0.0,-297.4483830027064,1.0,0.20950694767158398,0.0,0.0,1.0,0.4655644795153633,0.0,-11685.223819841895,1.0,0.4758471043504969,0.0,-238.05539867956287,1.0,0.18278673383901287,0.0,0.0,1.0,0.45015657892407057,0.0,0.0,1.0,0.29139795778282307,0.0,0.0,1.0,0.3037850760989162,0.0,0.0,1.0
1,0.01,Standing,0.4210073684728914,0.17349349002631825,-2311.6046124275977,1.0,0.24480573880392384,-0.24483380568439897,-481.7881262975969,1.0,0.21186335836585896,0.46873452884922717,-1430.7179145530167,1.0,0.4581125809396844,-17.098842621465547,-11238.450904750083,1.0,0.471327136400463,-0.9006217472427869,-168.26404541039477,1.0,0.18551212930201866,0.5288863436171997,-1900.4079615220594,1.0,0.4501662503634351,0.0033033238425728695,-1803.7142008782118,1.0,0.2926895540373298,0.25690251364513644,-4621.958179857084,1.0,0.30249456634427685,-0.2588898366141378,-914.6774491585869,1.0,0.42093474385111923,0.15385675035514312,-2271.604203469607,1.0,0.24435762729498278,-0.34261182260489204,-401.21735773729176,1.0,0.21235077113467915,0.5650076773162936,-1445.0206040572186,1.0,0.40184131523827304,-12.689614118471521,-7864.749940088932,1.0,0.47006065732195285,-1.1486731627600175,-148.2300785311579,1.0,0.18646079726899006,0.7046870594513311,-2068.2694299656055,1.0,0.4502562910910935,0.022316440702473517,-1852.1450333597886,1.0,0.2932284917230998,0.36320152921567844,-4756.412962870208,1.0,0.30194948937152544,-0.368675125184706,-485.60849741610843,1.0
2,0.015,Standing,0.42273107829891476,0.34794108837206245,-2620.238316624494,1.0,0.24444740283046812,-0.072605348884556,-646.3100017018787,1.0,0.21379391983745497,0.3842552940098028,-1486.1908238200162,1.0,0.35376065862130146,-20.287172932177782,-4982.110717595837,1.0,0.46902559277890243,-0.461491878736833,-335.68485812138795,1.0,0.1839385118945392,-0.3176079976603607,-254.47211992603917,1.0,0.4283172800911982,-4.376947552507917,0.0,1.0,0.2725032510627444,-4.154502374075472,0.0,1.0,0.3206043218484641,3.352518611503466,-3940.66687708439,1.0,0.4226713083098007,0.34904149735263007,-2619.5549334405914,1.0,0.2434284928184662,-0.1916695682913636,-511.08109626821465,1.0,0.2149424300837684,0.5148692817846258,-1517.7289764305485,1.0,0.3251730944672557,-14.981407824377415,-3268.1650374758665,1.0,0.4661561047486654,-0.7775221230440565,-125.81164381037841,1.0,0.18582211560040707,-0.1410343897193957,-812.8908920969019,1.0,0.42638041507312535,-4.772275868535569,0.0,1.0,0.27152641064351674,-4.467193748692435,0.0,1.0,0.32138915033776855,3.5735014985267677,-3939.5941463867834,1.0
3,0.02,Standing,0.4235304720402595,0.15612054101257777,-2347.7964382140144,1.0,0.24290632799168244,-0.3183156331995202,-396.36827828041567,1.0,0.2163114583698699,0.5000680765802038,-1553.866190144562,1.0,0.27781365644745215,-12.559171078675341,-495.2351518711296,1.0,0.46398665106092496,-1.0061517104470261,-76.72357243786114,1.0,0.1852302643881017,0.24221820497869295,-1851.944896536607,1.0,0.4216050129039317,-1.3164838938878756,-6.704131574705595,1.0,0.2675984393664613,-0.9780424084165662,0.0,1.0,0.32447861345495427,0.7566179077476253,-3927.9468280079973,1.0,0.42358677758369156,0.17769891815452576,-2391.953457955579,1.0,0.24151781676444886,-0.39658876291508577,-321.89820319676926,1.0,0.21788718267548113,0.5840008440549066,-1593.5163863663931,1.0,0.26953350743681265,-8.934117321272902,-198.54847577952057,1.0,0.4605632531857987,-1.1135746676893628,-46.703791388151465,1.0,0.18677936390610994,0.16773077403109343,-2073.1342616407874,1.0,0.41711130047514533,-1.809396077082023,0.0,1.0,0.26416319076923,-1.4599635425769617,0.0,1.0,0.32709996661246626,1.0992012547353742,-3908.778528138982,1.0
4,0.025,Standing,0.42286092333535275,-0.1443581724396943,-1572.3300308227974,1.0,0.2407970687272742,-0.4362407179118545,-287.3389639776708,1.0,0.21810616039179168,0.3570586786061375,-1596.2571423936581,1.0,0.2531220902660121,-1.5830903750249665,0.0,1.0,0.459059250496817,-0.9797720332517559,-35.85885357976645,1.0,0.18589583150466427,0.11263569639854792,-1811.3301075851937,1.0,0.429615598362737,1.6332329986062388,-1861.5226472791703,1.0,0.2775289500956648,1.9782922186678336,-3657.206109389237,1.0,0.3164523157887499,-1.674188441820085,0.0,1.0,0.42304286727945845,-0.11976935993199533,-1637.9744372841487,1.0,0.23912352437505802,-0.4956205026705748,-231.5474642721484,1.0,0.21999831004815165,0.41945772152233424,-1643.3797628134053,1.0,0.2526196192910377,-1.4537763275239126,0.0,1.0,0.4553619397643089,-1.0318394041301278,-15.280332021955568,1.0,0.18696205888892897,0.013071862576044868,-1608.5783278647903,1.0,0.4220363803336459,1.0214272695249509,-1557.0793105784337,1.0,0.27110318805098804,1.3948117596128184,-3021.57033231232,1.0,0.3217270723696124,-1.1116125930438565,-3.8296376243820154,1.0
5,0.030000000000000002,Standing,0.42221844429911587,-0.12968789724696667,-1597.0969571279754,1.0,0.23991440986425563,-0.17802157537803975,-485.26176538499624,1.0,0.21846388610712292,0.0714679598318028,-1302.4698722222677,1.0,0.25421176993213385,1.1687414309888056,-3103.1707491141783,1.0,0.45767907458022694,-0.2747608107720956,-442.3544965402028,1.0,0.18364269390190052,-0.4534703904299793,-64.42638887571884,1.0,0.434018497062399,0.8875290940127813,-2022.554580537646,1.0,0.2828925093538082,1.062670956114755,-4105.161114695594,1.0,0.3117860164778131,-0.9510849470811265,0.0,1.0,0.42234423628720036,-0.14314694459816843,-1565.7875698193843,1.0,0.23766247427968065,-0.2971895135301287,-345.5442071595951,1.0,0.22087810964352905,0.17545646461837583,-1521.554613552184,1.0,0.25058075056582274,-0.12373677582442992,-1401.0964127890975,1.0,0.45287596288135795,-0.4933053188390445,-199.69797775267324,1.0,0.1854652414110044,-0.30726203370982796,-316.36226531214015,1.0,0.4256817142300284,0.7434849452696737,-1707.8071678743734,1.0,0.2759586484896991,0.9690960979007833,-3511.832783157168,1.0,0.3177710334679048,-0.8076338442851905,0.0,1.0
6,0.035,Standing,0.42188176998770316,-0.06774611933902652,-1749.5207748671087,1.0,0.23934371347995187,-0.11471556033776947,-550.9651511123625,1.0,0.21872684560686395,0.052549758773729686,-1269.6461859987633,1.0,0.2572711859335405,0.7582134516769296,-3102.1780745224764,1.0,0.45650445715623594,-0.23409584591517835,-489.3697565574549,1.0,0.18272851693489303,-0.18421102268075557,-493.56836881839195,1.0,0.43615545049790694,0.4368261781997603,-2063.36769675453,1.0,0.2856990666507873,0.5573815060209238,-4309.604009736257,1.0,0.3092343629546158,-0.5148916562486726,-141.7564221960014,1.0,0.42188817797136996,-0.09298257638692584,-1684.0090039578672,1.0,0.23656585622837556,-0.2221121817078836,-405.6930407317935,1.0,0.22154769495583826,0.1336179698204009,-1472.5649291067762,1.0,0.2504007588235801,0.02068102753391759,-2331.200568694051,1.0,0.45096178255635844,-0.37998554839316984,-303.6009485485174,1.0,0.18506100062090908,-0.08581225017855687,-953.89589624574,1.0,0.42811456620933513,0.4948764316914993,-1794.762099513472,1.0,0.27923188111257674,0.652148878619929,-3807.5757894581134,1.0,0.31499878793297886,-0.5614541973363871,-71.94203459228558,1.0
7,0.04,Standing,0.4217394421463294,-0.028531150161649674,-1850.817199845874,1.0,0.23898977905126856,-0.07091566656369132,-602.1893203219606,1.0,0.21891653656560844,0.03791609683990524,-1242.2521048407702,1.0,0.25713009539733905,-0.027098540943592528,-2026.8742887936278,1.0,0.4555391661116163,-0.1926554983107534,-542.0818356117834,1.0,0.18207386817180307,-0.13138642772646766,-586.4208389288759,1.0,0.4365905943472328,0.09380032364646049,-1689.8787894195139,1.0,0.28656036710101024,0.17184085063049895,-4031.1578615559115,1.0,0.3084347147873465,-0.16034682921458757,-1531.754131010331,1.0,0.4216000623136287,-0.05842632190035982,-1768.018310103794,1.0,0.23575293566594047,-0.16395952842645803,-462.5282776123041,1.0,0.22205321206729955,0.10092965510896694,-1425.1237811695478,1.0,0.25020531848727706,-0.03528707245288625,-1945.031624911349,1.0,0.4494364250511831,-0.3035074573137354,-388.3022224362761,1.0,0.18453775283681328,-0.10753706102585425,-832.2579372663845,1.0,0.4295137536786675,0.28362588791142096,-1723.1270400935518,1.0,0.2812071063605992,0.3937655444364086,-3972.4978867027094,1.0,0.31328072694512177,-0.34606209585189396,-643.0668475973767,1.0
8,0.045,Standing,0.4216379530357312,-0.02029569349159277,-1870.795747845229,1.0,0.2388007335578927,-0.03781393191368597,-644.3600391220597,1.0,0.2189743923208312,0.011569087896100266,-1184.2093983033817,1.0,0.25560475584087067,-0.28030603349585514,-660.2357420039739,1.0,0.4547539064623699,-0.15686653428164613,-590.8218346919842,1.0,0.18151848501084505,-0.11113121259427618,-601.0334687833109,1.0,0.43625754300428954,-0.06485379324959117,-1366.837712640645,1.0,0.28646384211091674,-0.019310363845475062,-2982.455442083492,1.0,0.30852473227967214,0.017998275455561336,-2790.2659357180887,1.0,0.42135771130274907,-0.04888081940352498,-1787.9440339983666,1.0,0.23513787414095483,-0.12372742173174071,-506.58479710882733,1.0,0.222398144471251,0.06890446499885104,-1368.5258551936151,1.0,0.2498384935780618,-0.07098059060634683,-1710.1100932555635,1.0,0.4481408237147126,-0.2582477055643238,-444.07462274833824,1.0,0.18413745874487186,-0.08181764803818721,-887.5143389171717,1.0,0.4302498174492261,0.14799461573946648,-1589.7212223823694,1.0,0.28235335768175623,0.2287442679378848,-3912.539635158577,1.0,0.312267134734423,-0.203523523063782,-1327.286767305121,1.0
9,0.049999999999999996,Standing,0.42143747087619376,-0.04008740835331473,-1813.0649572831614,1.0,0.23869608393355637,-0.020927863504773294,-666.750496211595,1.0,0.21887362733673688,-0.020159246854123656,-1107.4663414523254,1.0,0.2544790417652784,-0.19847358853470728,-1019.9116857608855,1.0,0.454055267683906,-0.13968079883641868,-614.5444339643584,1.0,0.18113474236459992,-0.07673730334135262,-660.3439420519218,1.0,0.43590010870388174,-0.07144668034996693,-1345.8106610698662,1.0,0.28623037255314926,-0.046724861795078176,-2788.408455686886,1.0,0.3087420401552853,0.04343088144088194,-2975.6790230275033,1.0,0.42105423466281994,-0.0609485062859908,-1749.5733523822391,1.0,0.23465936198299017,-0.09610515493483807,-538.9762743072793,1.0,0.22256430867350127,0.03321365598043783,-1293.4418980031826,1.0,0.24953430582827146,-0.05115319990544698,-1833.2845039080603,1.0,0.44703196244148974,-0.221249302447476,-492.47648294964733,1.0,0.18380002567285908,-0.06861601145309001,-903.3917730647328,1.0,0.43063189084016706,0.07615689514501987,-1492.0317133516326,1.0,0.28304478165547364,0.13808422017372443,-3673.3003722468056,1.0,0.31164961953606907,-0.12379162014237118,-1812.7703420932323,1.0
