step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-297.4483830027054,0.0,0.20950694767158395,0.0,0.0,0.0,0.26094546743216207,0.0,-31.629667157490143,0.0,0.47584710435049693,0.0,-238.05539867956358,0.0,0.18278673383901273,0.0,0.0,0.0,0.45015657892407046,0.0,0.0,0.0,0.2913979577828231,0.0,0.0,0.0,0.30378507609891625,0.0,0.0,0.0,0.42012234803057485,0.0,0.0,0.0,0.24598155950629344,0.0,-297.4483830027064,0.0,0.20950694767158398,0.0,0.0,0.0,0.26094546743216207,0.0,-31.629667157490143,0.0,0.4758471043504969,0.0,-238.05539867956287,0.0,0.18278673383901287,0.0,0.0,0.0,0.45015657892407057,0.0,0.0,0.0,0.29139795778282307,0.0,0.0,0.0,0.3037850760989162,0.0,0.0,0.0
1,0.01,Standing,0.4204692926347088,0.06950819216039869,0.0,0.0,0.24580115048502468,-0.03632123991322084,-293.72850554448837,0.0,0.21008036209651365,0.1145389400362993,0.0,0.0,0.2605304639638378,-0.08310043240248803,-27.19503722849415,0.0,0.4747768262055753,-0.2141843022550398,-219.84474375567396,0.0,0.18322137333900296,0.08653570015926741,0.0,0.0,0.4502081852962531,0.010344274291868828,0.0,0.0,0.29165573693536034,0.05150162620096662,0.0,0.0,0.3035292624426179,-0.051195019043249426,0.0,0.0,0.42046929263454363,0.06950819212676668,0.0,0.0,0.24580115048461507,-0.03632123999622778,-293.7285055360688,0.0,0.21008036209688757,0.11453894011089023,0.0,0.0,0.2605304639624283,-0.08310043268259601,-27.19503721400124,0.0,0.4747768262043871,-0.21418430249214238,-219.84474373585928,0.0,0.18322137333956265,0.08653570026993067,0.0,0.0,0.45020818529856843,0.010344274755118878,0.0,0.0,0.2916557369360934,0.05150162634727404,0.0,0.0,0.30352926244188905,-0.05119501918917692,0.0,0.0
2,0.015,Standing,0.42114416347366407,0.13538668993199943,0.0,0.16521571311605726,0.245450040633114,-0.07110794939829175,-286.5560307810223,0.0,0.21117892610796524,0.2191640554381699,0.0,0.2863831277862817,0.2597385939496371,-0.15877081943618057,-19.66217096700247,0.0,0.47283365454355036,-0.3890434282485924,-188.63375209131846,0.0,0.18404237986438043,0.16266384762787922,0.0,0.05188886796471793,0.4503003253041602,0.018473680986839616,0.0,0.01764937108083832,0.2921347613161834,0.0956129946179865,0.0,0.065776987017573,0.30305158942747956,-0.0956444046664282,0.0,0.0,0.42114416347316735,0.1353866898633042,0.0,0.16521571303612423,0.24545004063187376,-0.07110794956853482,-286.55603075584304,0.0,0.21117892610906774,0.21916405558314428,0.0,0.2863831279727846,0.2597385939460438,-0.15877081986819316,-19.662170935585905,0.0,0.4728336545400492,-0.3890434287088763,-188.6337520372351,0.0,0.18404237986620087,0.16266384787425928,0.0,0.05188886803108433,0.45030032531003206,0.01847368169837195,0.0,0.017649371871234387,0.29213476131829474,0.09561299489252256,0.0,0.06577698720443842,0.30305158942536753,-0.09564440494372377,0.0,0.0
3,0.02,Standing,0.4221143195389239,0.19477215985774754,-393.6462674377516,0.32276577853295346,0.24494083258815227,-0.10361884014467365,-276.3114507616691,0.0,0.2127274131331643,0.3085447906905705,-412.1367632236628,0.5507540217383242,0.2586186608165019,-0.22481198165024718,-11.089535235956294,0.0,0.47020593300438984,-0.5262177922526909,-150.2260769748422,0.0,0.18517998686811732,0.22429941350870072,-95.55860364489044,0.09872208612268348,0.450407660928064,0.021503820267486623,-32.70451542595847,0.03152175898042064,0.29277825390217377,0.12833955547590492,-274.79374456534276,0.12340151998410498,0.30240512723598034,-0.129486055815271,0.0,0.0,0.4221143195379201,0.1947721597514767,-393.6462672108711,0.3227657783692427,0.2449408325856365,-0.10361884040828037,-276.3114507115163,0.0,0.21272741313532084,0.3085447908997339,-412.1367635356088,0.5507540221026244,0.25861866081035295,-0.224811982154018,-11.089535195581593,0.0,0.47020593299755753,-0.5262177929134513,-150.22607688065673,0.0,0.18517998687191423,0.2242994138905215,-95.56611870690688,0.09872208627199326,0.45040766093801043,0.021503821082390434,-32.70451692874438,0.031521760194525884,0.2927782539061615,0.12833955584902176,-274.7937454767335,0.12340152033841013,0.30240512723195684,-0.12948605619864226,0.0,0.0
4,0.025,Standing,0.422203292695019,0.017234758026787325,-537.4393381016861,0.46579326674541177,0.24456126466726685,-0.07683254436883108,-268.7963606300402,0.0,0.21326222965709568,0.10682083330117943,-536.2626804541255,0.7795502431939907,0.25822822710305043,-0.07818099245130394,-8.674074715192422,0.0,0.46871385949374167,-0.2976396315795628,-130.36141416570354,0.0,0.18583345493042822,0.12879364568092888,-169.91514712085456,0.1379171304279182,0.44942573190433094,-0.19650261495332474,-40.84699850792879,0.036695380810022764,0.29222377551973133,-0.11116056592697329,-293.58354838285885,0.167588613717094,0.3029624935420642,0.11132812374813197,0.0,0.0,0.4222032933191144,0.017234890470050557,-537.4394380860516,0.4657932664914983,0.2445612665325413,-0.0768321607001333,-268.7963973061488,0.0,0.21326222790903493,0.10682048419617672,-536.2624270661478,0.7795502437223214,0.258228228355882,-0.07818073998871185,-8.674081990549505,0.0,0.4687138651527825,-0.2976385073830903,-130.36148683682273,0.0,0.1858334423402208,0.12879114586319385,-169.9270591927443,0.13791713066194308,0.44942573047658463,-0.19650290636534523,-40.84698010993473,0.036695382200639316,0.292223772239443,-0.11116122588690049,-293.58304375347456,0.16758861420419327,0.30296249682729703,0.11132877986635313,0.0,0.0
5,0.030000000000000002,Standing,0.42097370467059086,-0.24497786205224956,-492.00375858991464,0.04651078324337811,0.24439884404244608,-0.03259090955420348,-265.6122380613263,0.0,0.21230032989719352,-0.1928337472266879,-384.42826582163104,0.28263619498764453,0.258922761925304,0.1385590545614108,-13.176172249438986,0.0,0.46894491404158795,0.04542279959291959,-133.34540636213586,0.0,0.1858014195325015,-0.006705211028416834,-174.41734751113466,0.08371077710184775,0.44875662127645466,-0.13393200039249886,-52.59455042964143,0.0,0.2917511069468753,-0.09472025754301726,-411.34914961322454,0.0,0.3034344009904216,0.09427403565228465,0.0,0.15890028200508807,0.4209737189386611,-0.24497513209758778,-492.00617117636284,0.04651109794819079,0.24439885718175386,-0.032588657012102645,-265.6124948793133,0.0,0.21230032456751075,-0.192834466859919,-384.42750858165556,0.2826353221144385,0.2589227657158642,0.13855955945796547,-13.176199379340478,0.0,0.46894493108281876,0.045425097094093383,-133.34562768923837,0.0,0.18580138422173442,-0.006709769602902142,-174.42741965736764,0.08370927805844372,0.44875565899097025,-0.1341247580033042,-52.57834579384583,0.0,0.2917501629561895,-0.09490913598758521,-411.1504347348087,0.0,0.30343534052820575,0.09446085525222206,0.0,0.15890123471405024
6,0.035,Standing,0.4187756159916309,-0.4344562820354441,-295.09298258888475,0.0,0.24442775704247416,0.00574567019430079,-266.17766558853145,0.0,0.21015224855058193,-0.43172967238795806,-159.7820785454807,0.0,0.2604455600640001,0.30277708078121385,-26.329027176489987,0.06993799220404305,0.47050918876859116,0.30810388631265573,-154.43564056788716,0.06166027974372104,0.1852740008397504,-0.10548324147389106,-111.67484464981874,0.0042144051058382506,0.4484650782873722,-0.05837067661638348,-54.66271048169669,0.0,0.29146407744249303,-0.057473161337526356,-408.04832910836694,0.0,0.3037195425690437,0.05698821119142746,-455.13148660735885,0.13524862669638854,0.4187756682522121,-0.434448758823887,-295.0978240502515,0.0,0.24442778464289408,0.005748582684170519,-266.1782056342438,0.0,0.21015225584886457,-0.4317271221741614,-159.78358634051807,0.0,0.2604455549425523,0.3027753193892262,-26.328975360964304,0.0699382477356003,0.4705091797973142,0.3080986751525839,-154.43551517515297,0.06166454119435028,0.18527397270931964,-0.10548176389637498,-111.68446970638298,0.004211638138515892,0.4484610696732664,-0.058980940196129705,-54.611654546446424,0.0,0.29146016092483856,-0.05806905494400613,-407.4489655207456,0.0,0.3037234259406035,0.057576138432374045,-455.7088497572093,0.13551990417435075
7,0.04,Standing,0.416339872141698,-0.47994484193727766,-226.56624066015715,0.0,0.24445035814329663,0.004493673234977746,-266.62007519762466,0.008198635433374662,0.20770285109657644,-0.49236357478587633,-99.22518060578965,0.0,0.26212944280610445,0.33430600171465097,-257.85560479089,0.15306760914845352,0.4722234164228012,0.3364729525113748,-242.22146664555248,0.5476876867424573,0.18485355729785413,-0.08411243115215107,-107.27764421699791,0.0,0.4487055739925132,0.04804394607384506,-59.050673486259114,0.0,0.2917135829474351,0.04985012491295385,-470.0572576777355,0.0,0.30347173903378855,-0.049590891098451016,-332.5914243812469,0.08204925084723286,0.41633967922979054,-0.47999441634800094,-226.54122116985084,0.0,0.2444500646497529,0.004429720899433068,-266.6143277973897,0.008202965919162909,0.2077030401737729,-0.49232686409709137,-99.24102901797775,0.0,0.262129314321511,0.334281697365178,-257.8548599689396,0.15306671819253959,0.47222262166176654,0.33631640762214154,-242.212708991349,0.5476781136054164,0.1848542297731054,-0.08397198183246368,-107.35213453951414,0.0,0.4487007576134354,0.047882694972581186,-59.03616181967435,0.0,0.2917091784391833,0.04975273949210934,-469.9537668982613,0.0,0.3034761205110348,-0.04949115659377689,-332.77785184272784,0.08290481787133647
8,0.045,Standing,0.41415671559147643,-0.43055523997098105,-214.81990123531037,0.0,0.24439097622232464,-0.011882204642084664,-269.16491600562085,0.006344463136572168,0.2055310341091359,-0.4361160134643006,-100.08116231881338,0.0,0.26347380497040485,0.26630316993730246,-481.03890118222915,0.1691132843068417,0.4734106234752925,0.23229766231874777,-653.0401106616323,0.6050000686251329,0.18470825889602865,-0.029069454868308385,-118.95150842447872,0.0,0.44916715838571086,0.09217244543150722,-58.098286942505844,0.08190631576831166,0.2922710893469743,0.11123963878761635,-473.79258520036984,0.06399701916489395,0.30291509354213236,-0.11147718250461441,-255.2192197803025,0.0,0.4141562820479209,-0.4306042265915639,-214.79675859302804,0.0,0.24439037117400292,-0.01194463756329735,-269.1544796055487,0.0062494414385701235,0.20553140285048035,-0.4360798175307919,-100.095873181945,0.0,0.26347356137695505,0.26628054454782624,-481.0337075845457,0.16910098701915266,0.4734090800757518,0.23214884527600377,-652.9717745437415,0.6047108494100726,0.18470952211055391,-0.02895151781191069,-119.02474702858424,0.0,0.4491619309994043,0.09209062223563312,-58.0901032639857,0.08163103268678783,0.2922665757767991,0.11121800152686101,-473.75590628003584,0.06385312949796905,0.3029196166153688,-0.11144883034307031,-255.4386490678874,0.0
9,0.049999999999999996,Standing,0.41277165549321887,-0.27636534065789925,-250.92618515576405,0.0,0.24402349250109193,-0.07431488308074963,-261.41345159127354,0.0,0.20456848845548406,-0.19282921634520406,-179.57432189581158,0.0,0.2638331371661042,0.07163600730596467,-480.9719268780692,0.13481025015871748,0.4726218920604051,-0.1579853922609445,-452.2572005866689,0.41788988953205264,0.18531241463981618,0.11952559870272705,-166.08878001525247,0.0,0.4497760341029539,0.1215678991053262,-160.0059712849134,0.15720767761444213,0.29327962450206146,0.20080545237102776,-503.7491343012452,0.14364905523329616,0.3018975680286378,-0.20397287235904651,-158.52260562255202,0.0,0.41277094595807806,-0.27642211240226056,-250.89793004184423,0.0,0.2440225526794079,-0.0743832540684505,-261.3940057569017,0.0,0.20456902088087245,-0.19279637892591558,-179.592405617259,0.0,0.2638327947580541,0.07161649852919569,-480.92954236162194,0.13479879477840145,0.4726196925854779,-0.15811484217374214,-452.08001899814377,0.41761248895317504,0.18531421005703172,0.11962963056238896,-166.1506246151233,0.0,0.4497707023989551,0.12154747609667123,-159.47263363261007,0.15706788262287966,0.29327530626148357,0.20084441064255512,-503.686544423137,0.1435994781051182,0.30190195425498445,-0.20400050843022785,-158.6211643903215,0.0
