step,time,phase_name,simulation_time
0,0.005,Standing,19.98
1,0.01,Standing,19.96
2,0.015,Standing,19.94
3,0.02,Standing,19.92
4,0.025,Standing,19.9
5,0.030000000000000002,Standing,19.88
6,0.035,Standing,19.86
7,0.04,Standing,19.84
8,0.045,Standing,19.82
9,0.049999999999999996,Standing,19.8
10,0.05499999999999999,Standing,19.78
11,0.05999999999999999,Standing,19.759999999999998
12,0.06499999999999999,Standing,19.74
13,0.06999999999999999,Standing,19.72
14,0.075,Standing,19.7
15,0.08,Standing,19.68
16,0.085,Standing,19.66
17,0.09000000000000001,Standing,19.64
18,0.09500000000000001,Standing,19.62
19,0.10000000000000002,Standing,19.6
20,0.10500000000000002,Standing,19.58
21,0.11000000000000003,Standing,19.56
22,0.11500000000000003,Standing,19.54
23,0.12000000000000004,Standing,19.52
24,0.12500000000000003,Standing,19.5
25,0.13000000000000003,Standing,19.48
26,0.13500000000000004,Standing,19.46
27,0.14000000000000004,Standing,19.439999999999998
28,0.14500000000000005,Standing,19.419999999999998
29,0.15000000000000005,Standing,19.4
