step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0043389024538703115,0.9486327356667364,-0.01173067155227659,0.04256442870171986,-0.003394931411220989,-0.3958572822937525,-0.05295608714439742,0.027985674204413946,0.060541531133206865,0.020637632899274488,0.05442349523198071,0.02501433890648313,-0.2275313581879033,0.026240879204103635,-0.02884742051133235,-0.4013104210109779,-0.025571087915385773,0.051426865422551364,-0.0033166763965421634,-0.39591418370013026,-0.07214617842596101,0.03975555393576338,0.059864691756138094,0.020818493843689556,0.0536855434183873,0.025104683366856912,-0.22902660266675762,-0.02606394624223401,-0.028744454908050478,-0.4012402127245907,0.02555339462924799,-0.010073394122063156,-0.042219297360513434,-0.040384508349413734,0.052989723453629706,-0.04104406815243209,-0.08052254933380827,-0.8677804907740623,-0.27345286665271157,-2.346134310455318,8.512885740343972,0.048813717755802205,-0.031456458750499364,-10.591217428879483,5.597134840882789,-0.4096937733586289,0.06352657985489721,-0.4093009536038585,0.05086778129662548,-0.826271637580662,-0.09782415917927338,0.06051589773352958,0.03791579780442223,0.009782416922845408,10.285373084510272,0.06446472069156726,-0.04283674002605618,-14.4292356851922,7.951110787152676,-0.5450616487723826,0.0996987687379108,-0.5568913163225406,0.06893667337138233,-1.1253205333515253,0.1332107515531974,0.08110901838990457,0.051957455081860185,-0.01332107415040168,-2.014678824412631,-2.6838594721026867,8.023098330117254,-5.722055309274059,-2.448813630486418,-0.004509866761654548,-0.09570044520114983,-0.00019313370727725945,0.9717573621916887,nan,nan,nan,nan,nan,nan
1,0.01,Standing,-0.011715655788720039,0.9460443665761717,-0.03166513117959993,0.1151316032904777,-0.002900926422276214,-0.3961788743080101,-0.14356220769098152,0.07002853578110839,0.05702202682770326,0.02128442552851455,0.05082260317839888,0.025456612110143537,-0.23480408978779868,0.025380232235253163,-0.028353230033596265,-0.4009719424971394,-0.025485023210984097,0.13767673253216095,-0.0026571007307824553,-0.396362404960568,-0.19228298593650722,0.09461034250272232,0.05530819139765441,0.02174254732362363,0.04894866002407692,0.025676815708848392,-0.23867377649882587,-0.02492241388184093,-0.028096959447590084,-0.40078938514470874,0.02543924140072521,-0.02229784216323652,-0.0587703027612588,0.009699710509944288,0.017582400768913473,-0.05606760908869657,-0.08049746379258967,-1.4753506669699457,-0.5176738181129498,-3.986891925464668,14.51343491775157,0.09880099778895499,-0.06431840285151197,-18.12122410931682,8.408572315338889,-0.7039008611007215,0.1293585258480125,-0.720178410716366,0.08845464073208142,-1.4545463199790791,-0.17212939377009426,0.09883809554721723,0.06769570276769646,0.017212940880335394,17.24997342192192,0.1319151331519416,-0.08964425208755536,-24.027361502109244,10.970957713391787,-0.9113000716967374,0.18481069598681443,-0.9473766788620759,0.11442646839829625,-1.929434766413649,0.22830647207861648,0.12949909209207888,0.09016551597639194,-0.022830645704555577,-2.4448896082346723,-3.310201080149074,10.016843771871605,-7.081464536943246,-3.0047081872528953,0.005017108243719823,-0.09569319194937176,-0.00019424351964673062,0.9715787480999272,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.0203764505170477,0.9424754246997186,-0.055082850315269064,0.20067160568991121,-0.0022221891447019824,-0.3966596956796984,-0.25057340671242095,0.10814221678339492,0.052923057018651486,0.022119634993359803,0.04655006127058032,0.025959977936872762,-0.24362550319493065,0.024336772700576645,-0.02779637562982333,-0.40055638913575914,-0.025380677249045264,0.2370763142403927,-0.0017631106353907188,-0.39704176953782244,-0.3287052015186861,0.13590636706581413,0.05023404837008624,0.022830449591571673,0.04360669164142868,0.026287949302220844,-0.24994493437926457,-0.023589267266001163,-0.027393276740087225,-0.4002571172404625,0.025305926747612447,-0.031540695504304356,-0.07176142299785643,0.05034725562122942,-0.01048768079075479,-0.06771478862577071,-0.0803853059718333,-1.7321589456655317,-0.7137883752906284,-4.6835438271338266,17.108000479886705,0.13574745551484624,-0.09616427433766539,-21.402239804287888,7.622736200457307,-0.8197939618103536,0.1670418929690508,-0.854508381563712,0.10067316534584504,-1.7642826814263952,-0.20869190693530362,0.11137088075458686,0.08311067227605184,0.0208691923877663,19.879916341646346,0.17879801907834728,-0.13587291545088687,-27.284443116435774,8.259204912618362,-1.0148286055136335,0.2175804535896086,-1.0683936765296487,0.1222267186744902,-2.254231576087737,0.26662932316795335,0.14073654150057166,0.10645358084925502,-0.02666293062255315,-1.8485706682135667,-2.5982240473195235,8.129509022257027,-5.614016311933653,-2.3294359074148283,0.022431564151272433,-0.09567662924394119,-0.00019561605373007894,0.9712765883817727,nan,nan,nan,nan,nan,nan
3,0.02,Standing,-0.02821824780882294,0.9387583611740596,-0.07653493330551832,0.27557552561524645,-0.0015457462607011848,-0.39715892010052833,-0.33716702358350914,0.07823046031404957,0.04950367389851131,0.022894116233422707,0.0425647470298631,0.027413395571525667,-0.25105230806542683,0.023412673713364168,-0.027379937222366448,-0.4002015359424883,-0.025292401687767616,0.322760958971943,-0.0008994596030953664,-0.3977469568283521,-0.4353531898055677,0.07885344879235943,0.04615633356762218,0.023773764443327836,0.03857366235561434,0.02835660702948611,-0.2591333225139191,-0.02243302755329259,-0.026879199081402093,-0.399821068577267,0.02519402803279009,-0.036540012878093234,-0.07943289880378407,0.07512236577722028,-0.027156094803802083,-0.07477115837749543,-0.08034898133914736,-1.5683594583550484,-0.743412705131791,-4.290416598049852,14.980783985067049,0.13528857680015952,-0.09984488416598496,-17.31872337421764,-5.982351293869069,-0.6838766240280348,0.15489624801258087,-0.7970628481434434,0.2906835269305811,-1.4853609740992328,-0.1848197974424955,0.08328768149137666,0.07097063865416206,0.017655112255529768,17.13692894631006,0.17273020645907047,-0.14103745810593185,-21.329597657376326,-11.410583654690939,-0.8155429604928129,0.18866297035123258,-1.0066058571628684,0.4137315454530535,-1.8376776269309045,0.23124794254171482,0.10281553173702619,0.08720973263909088,-0.02237974296447101,-0.9998634747577749,-1.534295161185527,4.955022031198173,-3.333682802609458,-1.4112739503449427,0.007264926537186307,-0.09565768112287837,-0.00019668546189224195,0.9707921508586633,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.03451738255070584,0.9352916869087602,-0.09419977666196323,0.33153835513582375,-0.001090944625470954,-0.3974463382677799,-0.39186819923033306,0.050695813206995954,0.047257237792231524,0.02342140622631125,0.03901096038410054,0.030231864418818682,-0.2560482005646303,0.0227065004805787,-0.02714833208264643,-0.3999581453962455,-0.025232772963287655,0.3873014245342865,-0.00031960114339000915,-0.39817293724745645,-0.5047731230176691,0.040846578049180154,0.0434813382889684,0.024375162866296853,0.033766455793306914,0.03213993564008749,-0.2654776950625058,-0.021523223062322197,-0.026579252097602226,-0.39951494270627735,0.02511673422983203,-0.03883746068785133,-0.08365222785314105,0.08914299978979724,-0.036414776542701935,-0.07888522382741901,-0.0803752316091027,-1.2598269483765794,-0.693334853059884,-3.5329686712889834,11.192565904115453,0.09096032704604615,-0.05748363345031823,-10.940235129364781,-5.506929421410722,-0.4492872212559581,0.10545799857770836,-0.7107573291525109,0.5636937694586028,-0.9991784998406953,-0.14123464655709397,0.046321027944004035,0.04867810924856074,0.011925744895992352,12.908093112468702,0.11597169194107146,-0.0851960838208762,-13.883986642420265,-7.601374148635856,-0.5349990557307557,0.12027968459380359,-0.961441312461485,0.7566657221202764,-1.268874509717347,0.18196089819407826,0.059989396759973064,0.061225174197937035,-0.01545876059161188,-0.4594895619516193,-0.8438658098713963,2.804126802515392,-1.85173634777997,-0.8228130899847175,-0.005250053991069155,-0.09564291788589083,-0.00019723304696875503,0.9699826037893553,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-0.03975341877926177,0.9320296958046113,-0.10886936013872973,0.3758629602752694,-0.0007490878382738685,-0.397661843851358,-0.43273416370042594,0.04018354563739624,0.04569528636318836,0.023787581296807653,0.03638347001009634,0.03230980803247019,-0.25988531671280374,0.022165289223944652,-0.026984704892261395,-0.39977005756681566,-0.025186952542991733,0.44175224477478303,0.00017186791233079872,-0.3986078161184703,-0.5637661539294245,0.024171220643045978,0.04150920966342471,0.024784451755104894,0.030604543387099194,0.03412760276850155,-0.27091243718470054,-0.020797235173663386,-0.026328050952540944,-0.3992525802447555,0.025050566017204772,-0.03952037991394214,-0.08571838028246666,0.09643837184920222,-0.04106650300837664,-0.081117790709026,-0.08042743336116537,-1.0472072457111865,-0.6523982208297945,-2.9339166953533,8.864921027889128,0.06837135743941712,-0.043101116715620835,-8.17319289401858,-2.1024535139199423,-0.31239028580863193,0.07323501409928077,-0.5254980748008392,0.4155887227303012,-0.7674232296346878,-0.1082422513268094,0.03272543807700679,0.03761756588596999,0.009164084059184056,10.890164048099303,0.09829381114416158,-0.0869757742027653,-11.798606182351083,-3.3350714812268354,-0.3944257251087374,0.08185777776160845,-0.6323824812415436,0.397533425682811,-1.0869484244389511,0.14519757773176223,0.05024022901225657,0.052472492304366215,-0.013233642525451766,-0.13658384521816147,-0.4132304858651212,1.459074411880996,-0.930345293134941,-0.4465133763213968,-0.010440350412532651,-0.09564564203453962,-0.00019743229330820608,0.9689782117458943,nan,nan,nan,nan,nan,nan
6,0.035,Standing,-0.04359610697349393,0.9293152316583009,-0.11969720284675564,0.40573449749291574,-0.0005295055363097064,-0.3977661415163357,-0.4572735495801875,0.03759703629620985,0.04477873611300608,0.024014415368427924,0.034422323918111855,0.034101012922207775,-0.2623320443056745,0.02179600698834454,-0.026901848928063736,-0.39964849406629965,-0.02515756879362253,0.4801543092338651,0.000511220421976631,-0.39887685627778385,-0.6026611262497872,0.016498465110478873,0.04029256354507216,0.025026467534331326,0.02762227352639239,0.0365025532406098,-0.2746481858791609,-0.020239841994878927,-0.026177796078774098,-0.39907085204987874,0.025003993716229606,-0.039274842212253934,-0.08649443615856416,0.09961690121993465,-0.04291735567712163,-0.08220772177031789,-0.08049631116537206,-0.7685376388464309,-0.5428928292620782,-2.165568541605182,5.974307443529266,0.04391646039283242,-0.02085953299554078,-4.907877175952315,-0.5173018682372781,-0.18331005003645545,0.04536681432405415,-0.3922292183968974,0.35824097794751714,-0.4893455185741562,-0.073856447120022,0.016571192839531797,0.024312700103197193,0.005876749873840521,7.680412891816413,0.06787050192916645,-0.05380803186270767,-7.77899446407252,-1.5345511065134212,-0.24332922367051057,0.048403155845286365,-0.5964539721413606,0.4749900944216511,-0.7471497388920696,0.11147863575689165,0.03005097475336925,0.03634563897535221,-0.009314460195033514,0.04910754033764131,-0.15521117521949884,0.6357058741464859,-0.37017053374899733,-0.21798621225837708,-0.013775560841340583,-0.09568269759204134,-0.00019742054288701078,0.967884735365128,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-0.0462157075293563,0.9270850788690059,-0.12693314158417354,0.42314379318570977,-0.000406230037810728,-0.3977838896684756,-0.4689978049697534,0.03983593475546837,0.044354418958527445,0.024138090160940488,0.03318910344754809,0.03531867127855134,-0.26364005585902406,0.021583796565385772,-0.026876803216702543,-0.39958208414255936,-0.025141671755063988,0.5072991451197154,0.0007717229937403631,-0.3991066323518373,-0.6313617490758133,0.014740057631527432,0.03953663538746859,0.025166376371173138,0.025849031462219035,0.03767577874471134,-0.2774353007514756,-0.019848979703242776,-0.0260704465154101,-0.39893563057498804,0.024968319599032403,-0.03853547209823191,-0.08652676669306036,0.10034790059802569,-0.043121140897013785,-0.08260664205840981,-0.08057053698921439,-0.5239201111724743,-0.44603055785899626,-1.4471877474835781,3.4818591385588085,0.02465509969979568,-0.003549630427976746,-2.34485107791318,0.44777969185170396,-0.0848634308957274,0.02473495850251285,-0.24664409411275215,0.24353167126871236,-0.26160231066990824,-0.042442084591753804,0.005009142272238953,0.013281984748064182,0.0031794077117082084,5.4289671771700725,0.05210051435274643,-0.045955214810693396,-5.740124565205228,-0.35168149579028807,-0.15118563152071324,0.027981767368362123,-0.3546484128346714,0.23464510082030818,-0.5574229744629405,0.07817245832723038,0.021469912672799338,0.02704429497814527,-0.007134823439440871,0.14787402280440415,-0.006466106899240792,0.14619987561820802,-0.04075704397843122,-0.07978405761838436,-0.014845164768464415,-0.09581214283159953,-0.00019728595604796086,0.9667651412232267,nan,nan,nan,nan,nan,nan
8,0.045,Standing,-0.04745671910360097,0.9254766963110864,-0.13020419151534554,0.4270697916799912,-0.00038775201177365664,-0.397693384656655,-0.4671322944256991,0.04514329201230364,0.04438409698745941,0.024171179183662052,0.03252215535550679,0.03623476547218979,-0.2637477547782624,0.021523606765212748,-0.02691467683607476,-0.39957361283921566,-0.025139971905717675,0.5198958499295706,0.0009103024576155023,-0.399172959475564,-0.6443937442248036,0.017307441298030277,0.03925131653360617,0.02521753765917683,0.024138991785413302,0.03907351466596945,-0.27884864968869794,-0.01959631193471303,-0.026037299191520754,-0.39886597094066173,0.02494853512913833,-0.037569108960662345,-0.0861710873135303,0.09969309908753642,-0.04241045677546893,-0.08263482179264711,-0.080651675862286,-0.24820231484893474,-0.32167651158390953,-0.6542099862343986,0.7851996988562817,0.003695605207414271,0.01810100236412733,0.3731021088108646,1.061471451367053,0.005935605786393711,0.006617804544313113,-0.1333896184082612,0.1832188387276898,-0.02153978384767341,-0.012037960034604587,-0.007574723874443301,0.0016942606687436919,0.0003399698692622536,2.519340961971049,0.02771589277502784,-0.013265424745340183,-2.606399029798043,0.5134767333005691,-0.057063770772484965,0.010232257600738145,-0.34200793536114676,0.2795471842516224,-0.2826697874444654,0.05053355370594893,0.0066294647778694996,0.013931926865258092,-0.003956893978814729,0.19327262751391283,0.07113587590601075,-0.13096030209785486,0.14213682430897084,-0.00563594684746084,-0.01622777461432078,-0.09598513478825044,-0.00019707653023437097,0.9656227140496384,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.047521567585574846,0.9243510442729014,-0.12995324849942513,0.4196869718721384,-0.0004541336310028838,-0.39752117288894273,-0.45462214559666914,0.05338264311445903,0.04476824168557263,0.024133849085126176,0.03243612249972152,0.03673944086660005,-0.26288680141077136,0.02159507757334216,-0.026998191035349117,-0.39961218749446153,-0.025149757949458885,0.5219946377733272,0.0009807952223837857,-0.3991822841724782,-0.6490228512628379,0.024319178915016,0.03925007684344785,0.025215409070515827,0.02337166232584662,0.039605207141182944,-0.27946234583557866,-0.01948195071653765,-0.0260374279103486,-0.39883547803588226,0.02493816782394437,-0.036537236796213186,-0.08563962483644595,0.09831442723608427,-0.041239291561363266,-0.08246959112115684,-0.08073504184647035,-0.01296969639477541,-0.22513040763700748,0.05018860318407914,-1.476563961570569,-0.013276323845845428,0.03444235354245721,2.5020297658059887,1.6478702204310793,0.0768289396226425,-0.0074660197071753955,-0.01720657115705393,0.10093507888205129,0.17219067349820738,0.01429416162588239,-0.01670283985487127,-0.0077149310491742285,-0.00195720874824162,0.4197575687513164,0.014098552953656664,-0.0018649393828347547,-0.9258214076068654,1.4023475233971445,-0.0002479380316632654,-0.00042571773220063773,-0.15346589191333665,0.10633849504269927,-0.12273922937614229,0.02287224363507623,-2.574376556960245e-05,0.006098580955895333,-0.002073461038791256,0.20637443288983234,0.10629249541687169,-0.27573437029042913,0.23423304282113247,0.03304613429805439,-0.016673196836869266,-0.09622701496112518,-0.00019682652765246877,0.9644736040455856,nan,nan,nan,nan,nan,nan
