step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-243.3873822789338,0.9669268834544943,0.20950694767158395,0.0,0.0,1.0,0.26094546743216207,0.0,-48.671231756288144,0.0,0.4758471176512823,0.0,-343.9077569067681,0.5425236425560463,0.18278689907843715,0.0,0.0,0.0,0.45015657892407046,0.0,0.0,0.0,0.2913979577828231,0.0,0.0,0.0,0.30378507609891625,0.0,0.0,0.49097259036386864,0.42012234803057485,0.0,0.0,0.0,0.24598155950629344,0.0,-350.1960663504845,0.0,0.20950694767158398,0.0,0.0,1.0,0.26094546743216207,0.0,-18.82299241583844,0.0,0.4758470910762818,0.0,-121.33608974628373,0.0,0.18278656860603554,0.0,0.0,0.0,0.45015657892407057,0.0,0.0,0.32944227541872256,0.29139795778282307,0.0,0.0,0.0,0.3037850760989162,0.0,0.0,0.0
1,0.01,Standing,0.42045803769592366,0.06720190787147234,0.0,0.0,0.24577545958730526,-0.04154584817986462,-671.8183781145691,0.9669268834544943,0.21010502957242488,0.1194596801008018,-1092.1575509280935,1.0,0.2605064014549318,-0.08790534281127174,-42.65580157691437,0.0,0.47457378306473286,-0.25474559758390036,-478.8155291689212,0.5425236425560463,0.18329850005338172,0.10178597911037818,0.0,0.0,0.4502307365328352,0.01486344894113345,0.0,0.0,0.2917071116323874,0.06175264938149841,0.0,0.0,0.30347817642343844,-0.06142631211729882,-999.1753188580294,0.49097259036386864,0.4204707952669264,0.069845388714455,0.0,0.0,0.24583180089250153,-0.030106424363505867,-346.7698596836631,0.0,0.21003962009774316,0.10641040504753466,-1114.711200889713,1.0,0.26056410589748114,-0.07636754099442884,-15.803125692067182,0.0,0.47501537164185015,-0.16650352534290386,-111.62669053720676,0.0,0.18313101042151883,0.06863521157268256,0.0,0.0,0.450183599835277,0.00541841308103156,-573.5284267640977,0.32944227541872256,0.2915965407733344,0.039684505131693554,0.0,0.0,0.3035880834172433,-0.0394177275562017,0.0,0.0
2,0.015,Standing,0.4196200720594905,-0.16866976267205197,0.0,0.0,0.24531292833315865,-0.09376324271184455,-609.3906363262236,0.8813951120538948,0.20990108379896533,-0.04080744651082061,-836.4583943756783,1.0,0.26062286119878064,0.023266136711637384,-44.21270872310595,0.0,0.47305788747434474,-0.3023742982806419,-429.2416013006342,0.07821923217151994,0.18432152799962082,0.20257497772922436,0.0,0.0,0.45393367493556813,0.7283748615380238,0.0,0.0,0.2957715679650491,0.7970256105144354,0.0,0.0,0.29932228003193384,-0.8381984220704778,0.0,0.41041619148435987,0.4199392531413206,-0.10594902209577559,0.0,0.0,0.24586854944632006,0.0073359726510626895,-347.60904082295986,0.0,0.20945604277358842,-0.11686328952566756,-696.5843889324948,1.0,0.260960479197142,0.07911937906332811,-18.947263251129296,0.0,0.47540041291787183,0.07664830043282556,-116.07129164024657,0.0,0.18295937498274306,-0.034329317486004915,0.0,0.0,0.4477436424602905,-0.4888056046605204,-244.25317595839908,0.33899175973055723,0.28956148367515566,-0.410131938498499,0.0,0.0,0.3055831932812208,0.39690744511057563,0.0,0.0
3,0.02,Standing,0.41819208702213306,-0.2861755812676903,0.0,0.0,0.24481316185592672,-0.10150240177877881,-588.1032994097819,0.7718736512695813,0.20914864507020797,-0.15073089866508219,-645.3535813283218,1.0,0.26111644665476536,0.09842574298728629,-51.12104063923685,0.0,0.47177968440169943,-0.25483813258303734,-411.5959420850756,0.0,0.18539384431709965,0.2116557962315572,0.0,0.0,0.4574436645198181,0.6870067070013901,0.0,1.0,0.29962544558404497,0.752865753310353,0.0,1.0,0.29515179078494197,-0.8388421358513927,0.0,0.0,0.4188158680843794,-0.22301542525454066,0.0,0.0,0.24595286613850534,0.01675808233069253,-349.5383095222841,0.0,0.20822333750087899,-0.24717240244986866,-474.65717336685987,0.8857827008586842,0.261798474005396,0.1669331702299542,-26.5328465608232,0.0,0.47635889789526953,0.19019370616773099,-127.51207775148197,0.0,0.18263525462692257,-0.06498441481948734,0.0,0.0,0.44629776652554853,-0.2889121671616616,-355.95880996149185,0.0,0.28838849539077943,-0.2355350272304267,0.0,0.0,0.3067101291969924,0.22465626828410212,0.0,0.0
4,0.025,Standing,0.4164506734637493,-0.34893431179022755,0.0,0.0,0.24421254893325556,-0.12236576556038153,-544.8978448277323,0.7513612602241972,0.2081895232489092,-0.1922042805089634,-566.4272459994746,1.0,0.261742051110448,0.12465498450995782,-60.59745060849284,0.0,0.47047670083515547,-0.2592533325659855,-367.63819055584787,0.05230520326129723,0.1866389738368317,0.2447824874530776,0.0,0.0,0.4606739752220326,0.6286971262535386,-2862.6838093126466,1.0,0.30325760969027954,0.7067231155809692,-4806.225875831238,1.0,0.2909836344719904,-0.8358082488871502,0.0,0.0,0.41740613073307875,-0.2792033284543809,0.0,0.0,0.246024570142472,0.014234698420372614,-351.183185322722,0.0,0.2066933761516169,-0.30690275518462745,-370.5140493749688,0.6384160111452155,0.2628197122460265,0.20319571601224604,-37.49965275058849,0.0,0.4774873511432596,0.22330902912848521,-141.67078240756885,0.08194736688252657,0.18232424677470194,-0.062397051813214706,0.0,0.0,0.4456454800615675,-0.12942755387940102,-399.864526561965,0.0,0.2880184395824992,-0.07410021927987138,0.0,0.0,0.30706229790394657,0.0703599042197874,0.0,0.0
5,0.030000000000000002,Standing,0.41501933314109446,-0.2821052148001073,0.0,0.0,0.24449941189672073,0.0574319268069457,-719.5581834845009,0.7034748961663231,0.2062648519596592,-0.38635534089128465,-312.3402811091824,1.0,0.26300864206989716,0.25157045951170254,-82.2488491697593,0.0,0.47164294292939263,0.22879967162428025,-568.9479697447568,0.03245342131582357,0.1859980524801091,-0.1277261019966354,0.0,0.0,0.4399765110020553,-4.3229544102162665,0.0,1.0,0.28452545745744584,-4.0418714072001745,0.0,1.0,0.3103112248716077,3.6839011730072335,-1307.3722460403178,0.0,0.4155380717690249,-0.36816489258743285,0.0,0.0,0.2461304189216877,0.021000668187608262,-353.6183925407329,0.0,0.20459431210157836,-0.42137050150215477,-212.4161686857683,0.5156743231884171,0.2641968548754393,0.27341281105600407,-55.28477652268127,0.0,0.47902186265544605,0.30228684975690095,-246.1882162960817,0.1613471437173648,0.18194246895161892,-0.0766738405041392,0.0,0.0,0.4452463850191959,-0.07881921958562191,-378.7989557285642,0.06489608700935515,0.2878530314635194,-0.03309911569422699,0.0,0.0,0.30721919948722787,0.03136548372548194,0.0,0.0
6,0.035,Standing,0.41363969890904173,-0.27492832325144234,0.0,0.0,0.2441658830742599,-0.0671575287162556,-569.9879401984756,1.0,0.20527259215370885,-0.19880528922172197,-497.5026589237546,1.0,0.263615370342396,0.12080885791930536,-93.78969263884684,0.0,0.47097052610459517,-0.13520592696174205,-392.9064979019449,0.91025447261932,0.186503757602847,0.10028845921405327,0.0,0.0,0.43024566334095754,-1.9354746073795632,0.0,0.0,0.27579760537192455,-1.7652640434430198,0.0,0.0,0.31790514106351453,1.468874439746666,-1168.8442719911309,1.0,0.4141326314601316,-0.2782168042870354,0.0,0.0,0.24608828953860842,-0.008425647311659838,-352.6481359700918,0.0,0.20313953735979717,-0.2916360106728308,-300.0252232523539,0.28852694582380833,0.2651056349581462,0.1806893461432537,-68.90581541368279,0.0,0.4796363312318059,0.12053912647803441,-300.5891523391496,0.33841973107734596,0.1819577469474225,0.00305971202998606,0.0,0.0,0.4451998675705209,-0.00779564663986252,-384.0462499377214,0.14794751454791,0.2881579091289775,0.06091553727552414,0.0,0.0,0.30692975606464756,-0.057938838335171355,0.0,0.0
7,0.04,Standing,0.4120955352122738,-0.31077793765837036,0.0,0.0,0.24337102961411236,-0.16171586447116712,-489.7083592078309,0.813952211390514,0.2047420551188784,-0.10620475705308778,-600.1430384400296,1.0,0.26390023033929383,0.056804771961309085,-99.46942261673553,0.0,0.4692811770017843,-0.3364949325935027,-373.7421728003353,0.2573814883570142,0.1879590473207943,0.28674187094874115,0.0,0.0,0.42736690073529326,-0.5683283740787903,-341.97579724060665,0.0,0.2737951879798526,-0.40084345591356535,-412.6064349156063,0.0,0.31955562807202775,0.32730548692307293,-2518.1691700554184,1.0,0.41287810014887005,-0.24900690569180858,0.0,0.0,0.24594622817529943,-0.028518534056096306,-349.38623121632526,0.0,0.20196220953992816,-0.23587790315101922,-300.21758744909636,0.5087997453242726,0.26580597934628303,0.13931154569038967,-80.42510935903479,0.0,0.47969717883082563,0.010680704068129446,-384.9565341770926,0.0,0.18224609814709253,0.05752393658276602,0.0,0.0,0.44540379547783093,0.04229152276673637,-394.4954871935992,0.26934302108685,0.2887584577284062,0.11986873005170702,0.0,0.0,0.3063564532969531,-0.11485251224764312,0.0,0.0
8,0.045,Standing,0.4101931679619645,-0.38891632754399713,0.0,0.0,0.24188388278732922,-0.3070628415589735,-349.1549732864413,0.6160483812415201,0.20474490416344213,0.0005698061336328599,-745.4693839233107,1.0,0.2638285071423227,-0.014280222824521066,-98.02363075183212,0.0,0.4662571751563833,-0.5968649705259688,-207.64286367306468,0.0,0.19061275231762592,0.5149820053268906,0.0,0.0,0.4310090582740044,0.7374432080380012,-1165.3876268089607,0.0,0.2786313345537876,0.9628028815855395,-2277.9414966896006,0.0,0.3155142356329924,-0.8238521251623269,-10.475405082720448,1.0,0.41176703408954407,-0.2214818278947073,0.0,0.0,0.24568349280012952,-0.053014784539118925,-343.3934373645398,0.0,0.20110135659379513,-0.17237712719236448,-334.5778137002224,0.5981173721118452,0.26628310149166123,0.09498710747654028,-88.78248716244862,0.0,0.47912509354763866,-0.11484828345567238,-312.4745106668208,0.0,0.1828481220886219,0.11962996943098084,0.0,0.0,0.44581203177247397,0.08308123287242664,-460.92273789693996,0.35718509744405325,0.28962251812741013,0.1722862994456808,0.0,0.0,0.3055241042674459,-0.16685856983312589,0.0,0.0
9,0.049999999999999996,Standing,0.40804962942936646,-0.4320894839475515,0.0,0.0,0.24071738215565475,-0.238614438368222,-373.59482974541004,0.30921357187427767,0.2039763336303269,-0.1539108452651131,-523.5964466896634,1.0,0.2642670687689437,0.08735768926781305,-107.02963852915775,0.0,0.46477833091475307,-0.2909116817029553,-297.4398819474417,0.0,0.19237340968635447,0.341993593601254,0.0,0.0,0.43390034221292906,0.5810331453289287,-1018.2361411384253,1.0,0.2823688321581282,0.7426075104405062,-2017.7750364711612,1.0,0.31225336527622105,-0.6608406163394445,0.0,0.0,0.41024746116303307,-0.30153368480449844,0.0,0.0,0.24541887951715974,-0.0533997565340369,-337.4102077868557,0.0,0.19975278268818425,-0.27017939753223275,-238.13140031255094,0.7044911383173866,0.2670567401566462,0.153680376782729,-103.21154073003007,0.0,0.47886413930631977,-0.053800515559571105,-310.20762534899643,0.0,0.1834363275829394,0.11676206132550813,0.0,0.0,0.44618124781292856,0.07503428656000233,-567.4279132619243,0.43100428902899524,0.29040320522749796,0.1556844217352009,0.0,0.0,0.304764279507729,-0.15227489985964107,0.0,0.0
