step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-243.3873822789338,0.4559202414934968,0.20950694767158395,0.0,0.0,0.0,0.26094546743216207,0.0,-48.671231756288144,1.0,0.4758471176512823,0.0,-343.9077569067681,1.0,0.18278689907843715,0.0,0.0,0.0,0.45015657892407046,0.0,0.0,0.0,0.2913979577828231,0.0,0.0,1.0,0.30378507609891625,0.0,0.0,0.0,0.42012234803057485,0.0,0.0,0.0,0.24598155950629344,0.0,-350.1960663504845,1.0,0.20950694767158398,0.0,0.0,1.0,0.26094546743216207,0.0,-18.82299241583844,0.0,0.4758470910762818,0.0,-121.33608974628373,0.0,0.18278656860603554,0.0,0.0,1.0,0.45015657892407057,0.0,0.0,0.0,0.29139795778282307,0.0,0.0,1.0,0.3037850760989162,0.0,0.0,1.0
1,0.01,Standing,0.42045803769592366,0.06720190787147234,0.0,0.0,0.24577545958730526,-0.04154584817986462,-443.424398595663,0.4559202414934968,0.21010502957242488,0.1194596801008018,0.0,0.0,0.2605064014549318,-0.08790534281127174,-1607.0292746912087,1.0,0.47457378306473286,-0.25474559758390036,-614.5508711577039,1.0,0.18329850005338172,0.10178597911037818,0.0,0.0,0.4502307365328352,0.01486344894113345,0.0,0.0,0.2917071116323874,0.06175264938149841,-3750.840193477825,1.0,0.30347817642343844,-0.06142631211729882,0.0,0.0,0.4204707952669264,0.069845388714455,0.0,0.0,0.24583180089250153,-0.030106424363505867,-708.1162077466628,1.0,0.21003962009774316,0.10641040504753466,-1114.711200889713,1.0,0.26056410589748114,-0.07636754099442884,-15.803125692067182,0.0,0.47501537164185015,-0.16650352534290386,-111.62669053720676,0.0,0.18313101042151883,0.06863521157268256,-1179.4858664348812,1.0,0.450183599835277,0.00541841308103156,0.0,0.0,0.2915965407733344,0.039684505131693554,-3499.464692347168,1.0,0.3035880834172433,-0.0394177275562017,-2090.7356198604593,1.0
2,0.015,Standing,0.421305045890693,0.16946722327352798,0.0,0.0,0.24607375791418623,0.059540281225336014,-501.0959576240365,0.5504593553263065,0.21050006843303193,0.07893803871539175,0.0,0.0,0.259615278337603,-0.17124600004467433,-1153.197731496426,1.0,0.47393870765815926,-0.12756275726428323,-749.5560760802509,1.0,0.18274276850816712,-0.11107930177210512,0.0,0.0,0.43653571840738814,-2.775699345386078,0.0,0.0,0.2779092712502498,-2.8395258017440437,0.0,1.0,0.3161298484442385,2.4121475316772663,-16.258149580524265,0.0,0.42107124197972345,0.11856595535533429,0.0,0.0,0.24628431964551378,0.08889230072168289,-827.1215425982066,1.0,0.20999511871471038,-0.008901148828734032,-909.1372589391597,1.0,0.26058993987024687,0.00516529192932037,-15.99936354058429,0.0,0.47600282234392605,0.19852433265832115,-123.19907719123916,0.0,0.18062966812426912,-0.5022746984363735,-30.811933266442736,1.0,0.4446550715166307,-1.1197180797508202,0.0,0.0,0.28567287218933957,-1.2070741538868162,0.0,1.0,0.30925855691064236,1.1147192100710652,-3593.371439895082,1.0
3,0.02,Standing,0.4226849652736525,0.27821225848205594,0.0,0.0,0.24556398061716164,-0.10368457834150026,-423.2469244261582,0.3203055141944747,0.21247889983570556,0.3939141970122738,0.0,0.0,0.25763252459167374,-0.3839770643248423,-330.40886162357776,1.0,0.470127333009609,-0.7650588358174519,-241.2599954167367,1.0,0.18393336714967443,0.2354168109785246,0.0,0.0,0.430875788102305,-1.1274185775026024,0.0,0.0,0.2728584314767526,-1.0125381530761317,0.0,1.0,0.3203172444514741,0.8197103021697302,-89.1812053798374,0.0,0.4219122022705579,0.16909635711003002,0.0,0.0,0.24567598535753343,-0.12323161584399539,-612.9733590769404,1.0,0.2116184791641776,0.3234617082863767,-1326.171471300632,1.0,0.2594284002289929,-0.23324677544163674,-8.372903454123401,0.0,0.4734237400048797,-0.5184665510025308,-94.17481898417589,0.0,0.18124584546133402,0.12148523267835079,-1049.8541418874997,1.0,0.4523518049027303,1.5015494738271211,0.0,0.0,0.29387429466225895,1.5877352864494105,-4718.767560837032,1.0,0.30129106683020596,-1.6259137800018084,0.0,1.0
4,0.025,Standing,0.42283870481644403,0.029079663325036587,0.0,0.0,0.24486109495042602,-0.14329006490796584,-383.11915954878873,0.6919195988444007,0.21351942490974107,0.20756433220168716,0.0,0.0,0.25661765697672845,-0.19888707771717054,-1007.8206821105322,1.0,0.4670777600189837,-0.6093017387201763,-240.99687936475135,1.0,0.1854268263154028,0.29427845466546537,0.0,0.0,0.42961683934062994,-0.24987253529013426,0.0,0.0,0.27236875883081,-0.09793773069303975,-1761.8983235593466,1.0,0.3207127859632573,0.07893611968205136,-99.09694597129769,0.0,0.42270054238967747,0.15187433917700344,0.0,0.0,0.2466067992057399,0.17999906510800043,-880.1268213206804,1.0,0.21111549624274462,-0.10071414066455725,-744.3136749374121,1.0,0.2597831666311287,0.07085004485796624,-10.44258466897174,0.0,0.475821662091406,0.4828301198347846,-121.03323501461043,0.0,0.17744528082966954,-0.7673798341759788,0.0,1.0,0.44292319534483626,-1.9245861453427107,0.0,0.0,0.28357532053058004,-2.1250998128019347,0.0,1.0,0.311172598925885,1.9163510854292578,-3690.97350972561,1.0
5,0.030000000000000002,Standing,0.42341860943848786,0.11403011699115528,0.0,0.0,0.24389169967701704,-0.19873557357746754,-370.1095059730811,0.7817227638623627,0.21521737847309907,0.33807025584852624,0.0,0.0,0.25519412222255244,-0.28020406433786926,-657.3380064037333,1.0,0.4633706095301163,-0.7403589131671489,-144.75264846506641,1.0,0.1873148225837278,0.3691261171150604,0.0,0.0,0.4304830605206244,0.17619932462701893,0.0,0.0,0.2742435177664306,0.3747534225658774,-3425.998312054259,1.0,0.3191887858284192,-0.30727875518021996,-63.76428988572815,0.0,0.4233035491200884,0.12113775938002355,0.0,0.0,0.24651318626269964,-0.018678000636612017,-726.0746271827321,1.0,0.2118419357806103,0.14504001471064237,-1198.1631796609042,1.0,0.259258325756111,-0.10514946512999464,-7.461678670128179,0.0,0.4750389518228719,-0.15711625339654842,-111.89638674369,0.0,0.17694030079570605,-0.10096421380170506,-329.58500486594517,1.0,0.4470111236263849,0.8114132595137448,0.0,0.0,0.28773011432727325,0.8212000713339594,-4311.627970620481,0.0,0.30733559214040174,-0.777033665445489,-0.08872243963949902,1.0
6,0.035,Standing,0.42318626330975373,-0.048214464984077526,0.0,0.0,0.24317657139079252,-0.1453192294320897,-420.25090529580336,0.9074515152218583,0.2158341965154194,0.1231552647251803,0.0,0.0,0.2546389574700314,-0.10962914644737705,-1471.4972600521219,1.0,0.4613809908910243,-0.39618253188140945,-324.2938362879383,1.0,0.18850658432700712,0.23378658382577194,0.0,0.0,0.4320188605719942,0.30837289037522575,0.0,0.0,0.27645489134148765,0.4415960541405402,-3628.133894386752,1.0,0.3173564771751637,-0.36979275986990995,-31.554418853825354,0.0,0.42332103290338,-0.0005958411443930944,0.0,0.0,0.24717489972531428,0.12729671718019764,-855.8336484280978,1.0,0.21097538670779217,-0.17365866511572137,-613.6544956727992,1.0,0.2598747517206563,0.12299557284159171,-11.013970346437292,0.0,0.4774427395007761,0.48501945729451906,-141.0968913374031,0.0,0.17439969577655137,-0.5159559924003565,-10.003793906721723,1.0,0.44798164596047574,0.19480444884245934,0.0,0.0,0.2878236747627806,0.01870653996610878,-2392.3044828278453,1.0,0.3072470136360236,-0.01772045765469451,-2374.38690662449,1.0
7,0.04,Standing,0.4235582560950138,0.07331237584531253,0.0,0.0,0.24241104817207448,-0.15571294687282874,-434.82520352894176,0.7852801861222045,0.21701693374373912,0.23575442019388762,0.0,0.0,0.25367625897763446,-0.18995878582234954,-1047.115354381368,1.0,0.4588774121535961,-0.4993564488508444,-212.9519485173215,1.0,0.18973210297486842,0.23988741144129386,0.0,0.0,0.433652405015221,0.3271789019183683,0.0,0.0,0.27877544355059375,0.4628835339327373,-3823.0491609318337,1.0,0.3153908342145792,-0.3966597814078764,-9.468540528063938,0.0,0.4238831291456861,0.109143807514121,0.0,0.0,0.2477146738369838,0.10446853093735468,-843.5585420467717,1.0,0.21077535521291768,-0.040024550199130336,-857.0326006397884,1.0,0.26001293560134603,0.02761928875307455,-11.904882391876308,0.0,0.4790789799663393,0.33060486113663134,-162.90780699776576,0.0,0.1726279251751043,-0.3603436629265039,-39.686586024992614,1.0,0.448385969881574,0.08135228059615128,0.0,0.0,0.287487633769632,-0.06727883366592227,-2228.304899565636,1.0,0.3075646967382213,0.06347490857322534,-2863.769106249904,1.0
8,0.045,Standing,0.42416802946998566,0.1215370009975576,0.0,0.0,0.241705184819058,-0.14329353841288853,-442.8267412608814,0.808479500084889,0.2183060018024907,0.256829326705155,0.0,0.0,0.25269786138443706,-0.1943759159517218,-1024.9684829344494,1.0,0.45654904498997406,-0.4648438256353332,-221.83750757772944,1.0,0.19078557052651898,0.20631873361709827,0.0,0.0,0.43516151939092734,0.30155346924131854,0.0,0.0,0.28088428614012867,0.4203748675404861,-3984.9046344808075,1.0,0.3135639534069185,-0.36818636447477565,-0.5129300347789696,0.0,0.4245218227572442,0.12618372770653366,0.0,0.0,0.2480686844997538,0.06909138646968283,-819.914794309776,1.0,0.21090490842996829,0.025902985219310528,-992.3955979249454,1.0,0.2599172562355794,-0.01914018567346614,-11.284320084986808,0.0,0.47996634158576146,0.17941929334392548,-175.3915220177194,0.0,0.17161133060898973,-0.20679966912101191,-77.58031767466068,1.0,0.45058295020051736,0.4381319144483656,0.0,0.0,0.28913864707764125,0.3283814431729062,-3806.2536955208507,1.0,0.3059913174841684,-0.31612207876134546,-862.4916456994301,1.0
9,0.049999999999999996,Standing,0.4246407919518621,0.09430590450686646,0.0,0.0,0.24115951109016723,-0.11034996203085662,-472.71910219024335,0.7797328272247871,0.21927940996140893,0.19409869802981758,0.0,0.0,0.251982156419298,-0.14284576327002807,-1284.388589343247,1.0,0.4548176953099575,-0.34566235895733505,-328.5050510865006,1.0,0.19153607713836282,0.14745278611888235,0.0,0.0,0.4364003889492492,0.24723056963733664,0.0,0.0,0.28255915470819404,0.3338907134639655,-4103.087598188153,1.0,0.3120838233026884,-0.29774282898996324,0.0,0.0,0.4253204289584388,0.1496146353428153,0.0,0.0,0.24902055529870873,0.18015161380640402,-884.8690752579644,1.0,0.21029144575955372,-0.12286185444983026,-695.0523566841637,1.0,0.2603490315875868,0.08620524866609781,-14.216400506360074,0.0,0.4832466605371218,0.6618522985855071,-225.54069619950414,0.0,0.1686929798950031,-0.27803042881504564,-22.30975693303377,1.0,0.44116389919817917,-1.8978746988819941,0.0,0.0,0.2783363527144934,-2.2062245299863847,0.0,1.0,0.3157662701056685,1.8822097823687447,-3884.8569177021113,1.0
