step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_lumbar_extension,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,qvel_dof_37,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0002649545016015391,0.9492581822993436,-0.005983519322396769,0.010760650126494908,-0.003596966201545991,-0.3957297345022373,-0.00967382674430355,0.006671139734903584,0.061999404195749355,0.02014117553514829,0.05609631797773421,0.0248054283575484,-0.22415709860783486,0.026640398889315478,-0.029091801863991313,-0.4014665992989247,-0.02561103988390251,0.00958243369674771,-0.003604045785488613,-0.3957127443778806,-0.006641612026553432,0.00428323002444441,0.06226715834442332,0.020287349742669894,0.05621247375413447,0.024791732036945163,-0.2239206109484998,-0.02666838215034564,-0.029108043992838957,-0.40147770636114566,0.025613838220063568,0.006496199864531113,-0.02883751474958811,-0.08048937247458772,0.08159341816946852,-0.02882037135329671,-0.08049851518071134,-0.08159745455269388,-0.052990900320307815,-0.14836354013128855,-1.1967038644793537,2.1521300252989817,0.008406759690801806,-0.005946900447461561,-1.9347653488607097,1.3342279469807168,-0.11811916085013051,-0.03576489297034211,-0.07473640445315731,0.009085671509680412,-0.15141972156697533,-0.017920222136904685,0.011639627201736892,0.006680140215064183,0.0017920232194981792,1.9164867393495417,0.006990842902277308,-0.0025488755761289995,-1.3283224053106863,0.8566460048888819,-0.06456833111533754,-0.00653005146602121,-0.05150524917310669,0.006346407389032365,-0.1041221896999623,0.012323569930871874,0.008391201432208267,0.004458727770875796,-0.0012323559872862604,1.2992399729062225,-0.00750294991762182,0.0021255050824555435,-0.001316366106296368,-0.004074270659341579,0.0002969638577321732,0.000509089461224905,-0.09587103131805969,-0.00019806171942827054,0.9725757463050729,nan,nan,nan,nan,nan,nan
1,0.01,Standing,-0.00018903908574025062,0.949055743441633,-0.008844010766821172,0.012241244060227781,-0.0033380674334700807,-0.39585277000158975,0.005349382182357277,-0.2836322395847982,0.06181407230328115,0.019837348730298965,0.05634448740136073,0.024994104538113075,-0.2229007544890442,0.026789140892443105,-0.029188979993777692,-0.4015223787698824,-0.02562591407669198,0.004963328272861634,-0.0035799687671930766,-0.3956509927400957,0.016809211134880542,-0.12148697372239466,0.062831615855722,0.020039779985946353,0.05680293643129571,0.026017675588627144,-0.22204876417738986,-0.026827511306266323,-0.029245979458395414,-0.40156148809701225,0.02563576957521001,0.01016079872750984,-0.029746691322779482,-0.07999347150343453,0.08137498087014812,-0.028818960750489203,-0.08048571263570976,-0.0815942809982251,0.015183083172257694,-0.040487771542113846,-0.5720982888848805,0.29611878674657466,0.05177975361518207,-0.024607099870488938,3.004641785332165,-58.060675863940354,-0.037066378493641194,-0.06076536096986526,0.04963388472530279,0.03773523611293468,0.2512688237581313,0.029748400625525435,-0.019435625957276166,-0.011155894191544277,-0.002974838557893846,-0.923821084777215,0.004815403659107318,0.012350327556990948,4.690164632286795,-25.154040749367812,0.11289150225973586,-0.049513951344708484,0.11809253543224835,0.24518871033639664,0.37436935422198664,-0.03182583118413676,-0.027587093111291223,-0.016756347173324287,0.00438627102928857,0.7329197725957451,-0.1818353146382748,0.099180194230639,-0.04368745986408152,0.0002821205615009068,0.0025605090003167066,0.000634710893755655,-0.09586950592479555,-0.0001980111394631006,0.972331468162533,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.0008196449036460859,0.9470823760957146,-0.025323406912360166,0.03947195810110545,-0.0033861306413825844,-0.3958591510042242,-0.008101030866672323,-0.39017600273389885,0.060925418618766165,0.019385469893972426,0.05590872614827478,0.025018140489765393,-0.22395707169031676,0.026664032299373957,-0.029096052744866784,-0.40147845310849173,-0.02561340320890633,0.02937540143978596,-0.003790781406215224,-0.39553830142260205,-0.0049044868663863025,0.05301231465385621,0.06221177527656211,0.0198700347983943,0.05617810766388395,0.0265450037810526,-0.223771998254081,-0.026591316083724347,-0.02910291713498716,-0.4014862609699844,0.025615249735643046,0.028326786602436822,-0.030929143988855375,-0.07937758862162288,0.08109780228612606,-0.02886049000301191,-0.08048723770334448,-0.0815902235987462,-0.12612116358116707,-0.39467346918369905,-3.2958792291077987,5.446142808175534,-0.009612641582500747,-0.0012762005268854362,-2.69008260980592,-21.308752629820127,-0.17773073690299687,-0.09037576726530783,-0.08715225061718994,0.004807190330463784,-0.21126344025450916,-0.025021718613829517,0.018585449782181518,0.008785132278133191,0.0025021735571298933,4.882414633384865,-0.04216252780442943,0.02253826349872593,-4.342739600253369,34.899857675250175,-0.12396811583197774,-0.0339490375104104,-0.12496575348235175,0.10546563848509125,-0.3446468153382312,0.04723904450839496,0.028612464681651077,0.015045425405571859,-0.00410396791339327,3.6331975749853966,-0.2364905332151784,0.12317657636232884,-0.05543571680441021,-0.008305850504541556,-0.0003050135269431916,0.0008114798957823478,-0.0959264212829229,-0.0001979098457633286,0.9718646873150207,nan,nan,nan,nan,nan,nan
3,0.02,Standing,-0.0008680359882989345,0.946414310769546,-0.02863566003182484,0.05262990152017453,-0.0035039447176009484,-0.395845159801851,-0.02976153305178871,-0.40358003582075896,0.05987785569118425,0.01902601347215992,0.05520988801749844,0.02501047748795808,-0.22575171922800114,0.026451835421766105,-0.028987494898483,-0.40139118442309174,-0.025592183512614258,0.01796621601999596,-0.0037161543228036364,-0.3954908333910852,0.03838282984107665,-0.16482454914094136,0.06333888199192159,0.019537003851255792,0.0573889444151358,0.02786406062850927,-0.22033006905784527,-0.02693728360753669,-0.029350973146335856,-0.40164398103395954,0.02565575673996182,0.032277925737367215,-0.03164228383658063,-0.07897381167082813,0.0809214074494065,-0.028858933474776593,-0.0804800022538094,-0.08158874991556095,-0.009678216930569708,-0.1336130652337209,-0.6624506238929353,2.631588683813815,-0.023562815243672833,0.0027982404746472863,-4.332100437023277,-2.6808066173720277,-0.20951258551638305,-0.07189128436250145,-0.13976762615526772,-0.0015326003614623152,-0.3589295075368768,-0.042439375521570684,0.021711569276756854,0.017453737079996257,0.004243939258414242,-2.281837083958,0.014925416682317519,0.009493606303367413,8.65746334149259,-43.56737275895951,0.2254213430718947,-0.06660618942770183,0.24216735025036892,0.2638113694913343,0.6883858392471489,-0.06919350476246872,-0.0496112022697396,-0.0315440127950227,0.008101400863754854,0.7902278269860781,-0.14262796954505064,0.08075539015894771,-0.035278967343914246,0.0003113056470630052,0.0014470899070174784,0.0002947366370505286,-0.09601858678763406,-0.00019779921653778485,0.9713452642832786,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.0016810583287054574,0.9438443241617087,-0.04519647546605891,0.09309772939483343,-0.0035269599544223156,-0.39591367896804747,-0.09042082831895262,-0.24311184637815927,0.05763684727259076,0.019027494642046446,0.05311029122586652,0.02508578320704461,-0.23073355556363687,0.025862311736338815,-0.02864493816155848,-0.4011610913394189,-0.025533231135989005,0.03629231621535492,-0.003980863920862411,-0.3953659291213456,0.03498056298027335,-0.07433369354126819,0.06337537427271174,0.01924013160162908,0.05748744428824157,0.028252485847956345,-0.220547033807363,-0.02688620170383606,-0.02930087531266079,-0.4016408720269103,0.025653069233414497,0.050180766289943904,-0.032342501980164196,-0.07859260607317657,0.08074837572818538,-0.028899261163851164,-0.08048494001285526,-0.08158574771817621,-0.16260446808130458,-0.5139973215674467,-3.312163086846813,8.09356557493178,-0.004603047364273395,-0.013703833239293885,-12.131859053432782,32.093637888519936,-0.44820168371869795,0.00029623397730538237,-0.41991935832638455,0.015061143817306161,-0.9963672671271484,-0.11790473708545818,0.06851134738490391,0.046018616734564685,0.011790475325050443,3.6652200390717926,-0.05294191961175486,0.02498085394791641,-0.6804533721606614,18.098171119934634,0.007298456158029848,-0.05937444992534258,0.019699974621154526,0.0776850438894155,-0.043392949903545364,0.010216380740125597,0.010019566735013405,0.0006218014098491459,-0.0005375013094646997,3.5805681105153386,-0.14004362871671272,0.07624111953031298,-0.0346063442442225,-0.008065537814914042,-0.0009875518091731548,0.0006004394769475829,-0.0961400632227468,-0.0001976476357678233,0.9706949691668155,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-0.001843954014919891,0.9429049406644231,-0.04705793931577881,0.10983781664810885,-0.0033677568944471908,-0.39603026999260216,-0.13044131375477278,-0.14305079534527232,0.05591513690890593,0.019185111785998916,0.051438690358977815,0.025248555160038703,-0.2341950996787304,0.025453331620971787,-0.028459251059560473,-0.4009936726461108,-0.02549233311707013,0.021998216316581373,-0.004209778122399369,-0.3951851355902105,0.07135987970152766,-0.0691187900638878,0.06465662025030218,0.018700816123705166,0.05896570068616498,0.02851860048102776,-0.21764576268294286,-0.02720972784060272,-0.02950113864351726,-0.40177424184510185,0.02568731581184658,0.05218357408201185,-0.032622654067546435,-0.07840970750107402,0.08066868889677731,-0.028891397524100335,-0.08048016160987577,-0.0815856812985778,-0.03257913724288672,-0.18787669945713154,-0.37229276994398086,3.3480174506550844,0.03184061199502494,-0.023318204910935288,-8.004097087164029,20.012210206577393,-0.34434207273696615,0.031523428790494204,-0.3343201733777401,0.03255439059881856,-0.6923088230187033,-0.08179602307340579,0.037137420399601356,0.03348373866161823,0.008179603783774948,-2.858819979754709,-0.0457828403073917,0.036158706227020276,7.27586334425086,1.0429806954760785,0.2562491955180873,-0.10786309558478271,0.2956512795846826,0.05322292661428298,0.5802542248840317,-0.06470522735333135,-0.04005266617129407,-0.0266739636383113,0.006849315686416294,0.40056155841358976,-0.05603041747644763,0.036579714420508606,-0.01593736628161502,0.00157272795016551,0.0009556805958998284,1.3283919682451507e-05,-0.09624141867483936,-0.000197447731847995,0.9698047022315305,nan,nan,nan,nan,nan,nan
6,0.035,Standing,-0.0021582170285640774,0.9416811889340428,-0.05315252723270609,0.13039700372318785,-0.0031119959055730447,-0.39617299750984175,-0.16371564751829315,-0.08063272166608619,0.05444179227566956,0.019459345149676,0.049929003260723255,0.025445626907742533,-0.2371238000606387,0.025107324442929405,-0.028308227034444054,-0.40085192029441585,-0.025457732392683702,0.013230827973953948,-0.004386236738424435,-0.39505970903175563,0.10588961489761864,-0.08156123766804708,0.06593595238356517,0.018161311460333427,0.060504718158028006,0.02834708587640736,-0.214761531983656,-0.02755077609061361,-0.02967940174752652,-0.4019096839736723,0.02572141853126594,0.05897075434400634,-0.032907512193547865,-0.07822115960554571,0.08058042300487207,-0.028889868549445148,-0.08047614399073463,-0.08158489232852983,-0.06285260272883729,-0.24475034607605892,-1.2189175833854549,4.1118374150158035,0.051152197774829204,-0.028545503447915222,-6.654866752704076,12.483614735837225,-0.2946689266472738,0.054846672735417074,-0.3019374196509118,0.03941434954076601,-0.5857400763816625,-0.06920143560847654,0.030204805023283744,0.028350470338984878,0.006920144877285379,-1.7534776685254851,-0.035291723205013184,0.02508531169097094,6.905947039218194,-2.4884895208318563,0.2558664266525993,-0.10790093267434786,0.3078034943726046,-0.03430292092407967,0.5768461398573758,-0.06820965000217817,-0.03565262080185254,-0.027088425714098172,0.006820543883872341,1.357436052398897,-0.05697162520028552,0.03770957910566285,-0.017653178381047106,0.0003057949310374384,0.0008035238282285164,0.00015779400959120126,-0.0964959998930109,-0.00019731205186618262,0.9692416792013627,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-0.0028862113031485055,0.9403582979459826,-0.06461167970705296,0.15817607981062723,-0.0027967362627132407,-0.39622739633877013,-0.19525293535167348,-0.04452230181937705,0.05311040071527798,0.019811371169727646,0.04849210923253219,0.025648928587627722,-0.23989185243514508,0.024780132546589013,-0.02683264602125687,-0.4015491161852895,-0.024866638906213642,0.01626166396274511,-0.004583897249078716,-0.3949676421270857,0.12319266217603979,-0.014623396065190086,0.06669728996086055,0.01769883306755863,0.06152186685172056,0.027956211495052636,-0.21319488621143357,-0.027746354388245784,-0.029752051862171374,-0.4019865906207004,0.025739960265107963,0.07138810574736347,-0.0331106794747302,-0.07807429683757103,0.08050815508516117,-0.028900937331487322,-0.08047410736413413,-0.08158313467032333,-0.14559885491688562,-0.26457819761204315,-2.291830494869374,5.555815217487875,0.06305192857196083,-0.010879765785678678,-6.30745756667607,7.222083969341827,-0.2662783120783169,0.07040520401032897,-0.287378805638213,0.04066033597703764,-0.5536104749012734,-0.06543837926807834,0.2951162026374366,-0.13943917817472204,0.11821869729401216,0.6061671977582324,-0.03953210213085613,0.01841338093399026,3.460609455684229,13.3875683205714,0.1522675154590755,-0.09249567855495947,0.2034297387385105,-0.0781748762709447,0.3133291544444858,-0.03911565952643459,-0.014530022928970512,-0.015381329405612616,0.003708346768404717,2.4834702806714253,-0.04063345623646683,0.029372553594935954,-0.014453583942182373,-0.002213756408434656,0.0004073253201022299,0.0003515316413017257,-0.0967859592203413,-0.00019718216331542375,0.968702731180513,nan,nan,nan,nan,nan,nan
8,0.045,Standing,-0.0033582822962564163,0.9401786531990391,-0.07040560812645545,0.1770482526812986,-0.0025261047311155695,-0.39624245790000223,-0.21932141649123083,-0.028196470772657505,0.05211569922787331,0.020160934005369398,0.047354376731573604,0.025819010770333037,-0.24205371647260257,0.024525041595246506,-0.02535704781393912,-0.40225524167021065,-0.024249118550563994,-0.000264741180255202,-0.004490096711122051,-0.3949632675704061,0.18296931084125698,-0.27564007811886887,0.06868807972883972,0.017047417162211906,0.06393908348645855,0.02755939764996934,-0.2081964336719228,-0.028352022872909055,-0.030075876372750228,-0.4022194214043393,0.02579912561885693,0.07782055553381671,-0.03314725566414895,-0.07800615471601226,0.08047327559934107,-0.028888643112496403,-0.08046436830840148,-0.08158198769369833,-0.09441419862158217,-0.035928949388678716,-1.1587856838804966,3.774434574134272,0.0541263063195342,-0.0030123122464171207,-4.813696227911469,3.2651662093439096,-0.19894029748093267,0.06991256712835,-0.22754650019171765,0.03401643654106263,-0.4323728074914965,-0.05101819026850153,0.2951196414635496,-0.14122509698422928,0.1235040711299298,-3.305281028600062,0.01876010759133307,0.0008749113359104964,11.955329733043438,-52.20333641073576,0.3981579535958345,-0.13028318106934492,0.483443326947599,-0.07936276901665869,0.9996905079021521,-0.1211336969326542,-0.06476490211577042,-0.04656615672777729,0.011833070749793475,1.286489957290649,-0.007315237883751019,0.013628424311752908,-0.006975897164017658,0.0024588437981840085,0.0019478111465288908,0.00022939532499923745,-0.09715504947416018,-0.00019715729832684697,0.9685783417131144,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.004716080931207007,0.938766608388515,-0.08981286691283745,0.21536911604453035,-0.0022095936870718653,-0.3963127122500736,-0.2494796637349132,-0.018483235639341747,0.051030679452475136,0.020551040061335756,0.0460909259237065,0.025983675982387818,-0.244656032986502,0.024217010676020924,-0.024261569878561297,-0.4026429373697914,-0.023805192168273995,0.018035326407961804,-0.004853715434559042,-0.39491974835406524,0.18373258883066915,-0.2056470400795566,0.06900345006245534,0.016603128895172715,0.06454065008421417,0.027101739118681065,-0.20808703294698483,-0.02845088825567185,-0.03003773238110075,-0.40224238878897756,0.025802757091477113,0.09863857547955975,-0.03318650852797617,-0.0779351792726444,0.08043455760299063,-0.028918941428439062,-0.08046936038828072,-0.08157990805517362,-0.27155972699011816,-0.2824089621048268,-3.8814517572763996,7.664172672646352,0.06330220880874088,-0.014050870014267188,-6.0316494487364745,1.942647026663152,-0.21700395507963577,0.07802121119327175,-0.25269016157342156,0.03293304241095623,-0.5204633027798818,-0.0616061838451164,0.21909558707556492,-0.07753913991614951,0.0887852764579998,3.660013517643401,-0.07272374468739828,0.008703843268178402,0.15265559788243266,13.998607607862454,0.06307406672312427,-0.08885765340783819,0.12031331955112379,-0.0915317062576556,0.021880144987598604,-0.01977307655255861,0.007628798329895423,-0.004593476927649144,0.0007262945240363496,4.163603989148606,-0.00785057276544445,0.0141950886735705,-0.007743599270088989,-0.006059663188531754,-0.000998415975848823,0.0004159277049427917,-0.09764771650319687,-0.00019719755045979523,0.9688065064500276,nan,nan,nan,nan,nan,nan
