step,time,phase_name,hamstrings_r.tendon_length,hamstrings_r.tendon_velocity,hamstrings_r.actuator_force,hamstrings_r.activation,bifemsh_r.tendon_length,bifemsh_r.tendon_velocity,bifemsh_r.actuator_force,bifemsh_r.activation,glut_max_r.tendon_length,glut_max_r.tendon_velocity,glut_max_r.actuator_force,glut_max_r.activation,iliopsoas_r.tendon_length,iliopsoas_r.tendon_velocity,iliopsoas_r.actuator_force,iliopsoas_r.activation,rect_fem_r.tendon_length,rect_fem_r.tendon_velocity,rect_fem_r.actuator_force,rect_fem_r.activation,vasti_r.tendon_length,vasti_r.tendon_velocity,vasti_r.actuator_force,vasti_r.activation,gastroc_r.tendon_length,gastroc_r.tendon_velocity,gastroc_r.actuator_force,gastroc_r.activation,soleus_r.tendon_length,soleus_r.tendon_velocity,soleus_r.actuator_force,soleus_r.activation,tib_ant_r.tendon_length,tib_ant_r.tendon_velocity,tib_ant_r.actuator_force,tib_ant_r.activation,hamstrings_l.tendon_length,hamstrings_l.tendon_velocity,hamstrings_l.actuator_force,hamstrings_l.activation,bifemsh_l.tendon_length,bifemsh_l.tendon_velocity,bifemsh_l.actuator_force,bifemsh_l.activation,glut_max_l.tendon_length,glut_max_l.tendon_velocity,glut_max_l.actuator_force,glut_max_l.activation,iliopsoas_l.tendon_length,iliopsoas_l.tendon_velocity,iliopsoas_l.actuator_force,iliopsoas_l.activation,rect_fem_l.tendon_length,rect_fem_l.tendon_velocity,rect_fem_l.actuator_force,rect_fem_l.activation,vasti_l.tendon_length,vasti_l.tendon_velocity,vasti_l.actuator_force,vasti_l.activation,gastroc_l.tendon_length,gastroc_l.tendon_velocity,gastroc_l.actuator_force,gastroc_l.activation,soleus_l.tendon_length,soleus_l.tendon_velocity,soleus_l.actuator_force,soleus_l.activation,tib_ant_l.tendon_length,tib_ant_l.tendon_velocity,tib_ant_l.actuator_force,tib_ant_l.activation
0,0.005,Standing,0.4201223480305749,0.0,0.0,0.0,0.24598155950629338,0.0,-297.4483830027054,0.0,0.20950694767158395,0.0,0.0,1.0,0.26094546743216207,0.0,-31.629667157490143,0.0,0.4758471176512823,0.0,-238.0556294928676,0.0,0.18278689907843715,0.0,0.0,1.0,0.45015657892407046,0.0,0.0,1.0,0.2913979577828231,0.0,0.0,1.0,0.30378507609891625,0.0,0.0,0.0,0.42012234803057485,0.0,0.0,0.0,0.24598155950629344,0.0,-297.4483830027064,0.0,0.20950694767158398,0.0,0.0,1.0,0.26094546743216207,0.0,-31.629667157490143,0.0,0.4758470910762818,0.0,-238.05516832745428,0.0,0.18278656860603554,0.0,0.0,1.0,0.45015657892407057,0.0,0.0,1.0,0.29139795778282307,0.0,0.0,1.0,0.3037850760989162,0.0,0.0,0.0
1,0.01,Standing,0.42046929262072974,0.06950818928561106,0.0,0.0,0.24580115043298917,-0.036321250468785184,-293.7285044749366,0.0,0.21008036215286047,0.11453895127713423,-1182.0657959902396,1.0,0.26053046392461227,-0.08310044027081806,-27.195036825161452,0.0,0.47477683941292054,-0.21418432013305727,-219.8449640067871,0.0,0.18322153844759542,0.08653567410046689,-1348.1930474826263,1.0,0.4502081853309652,0.010344281248098205,-1821.9842023390254,1.0,0.291655737028081,0.051501644705927364,-3696.4249402237288,1.0,0.30352926235044914,-0.051195037500150135,0.0,0.0,0.4204692926490521,0.06950819510785662,0.0,0.0,0.24580115053646295,-0.03632122947873411,-293.72850660176385,0.0,0.21008036204130187,0.11453892902187432,-1182.0657611292534,1.0,0.2605304640011228,-0.08310042492075456,-27.19503761187371,0.0,0.4747768130228352,-0.21418428476846213,-219.8445239149962,0.0,0.18322120823791216,0.0865357264268534,-1348.265858179054,1.0,0.45020818526390854,0.010344267809377382,-1821.9841679030992,1.0,0.2916557368436402,0.05150160789572768,-3696.4246970940026,1.0,0.3035292625337918,-0.05119500078555197,0.0,0.0
2,0.015,Standing,0.41939023962224115,-0.2208536039617907,0.0,0.0,0.24722027111317493,0.26926058821204363,-323.6216433398962,0.0,0.20700819051121253,-0.6182594830540385,-118.04403268789348,1.0,0.2626484100002373,0.41969721163661544,-53.332452042478195,0.0,0.4800417031712014,1.0503144847078176,-316.4100500711394,0.0,0.17797400275143943,-1.066976327731554,0.0,1.0,0.42794168027721,-4.419119308908382,0.0,1.0,0.26903810354563906,-4.614534120528578,0.0,1.0,0.3233582246265917,3.612802875872916,-13.684392523207691,0.0,0.41939024382573586,-0.22085307671580162,0.0,0.0,0.24722028685969627,0.2692632898740214,-323.6219830686656,0.0,0.20700817186288634,-0.618263234461537,-118.04142463176727,1.0,0.26264842258862714,0.41969966652892815,-53.33263330845297,0.0,0.48004173976121306,1.0503272351186,-316.41078210701215,0.0,0.1779735334343728,-1.0670046778605178,0.0,1.0,0.4279416634559691,-4.419122079171908,0.0,1.0,0.2690380654885269,-4.614541465191824,0.0,1.0,0.32335825442219374,3.6128074664537553,-13.684627987072798,0.0
3,0.02,Standing,0.41821224642076205,-0.2351841613933217,0.0,0.0,0.24786119679973712,0.12323304631078982,-337.59722359969464,0.0,0.2049148783597734,-0.42023777816122637,-274.5823933551839,1.0,0.2640168418066922,0.2716536971310541,-74.85717219638754,0.0,0.4827957608614619,0.551867454864776,-373.90760258049636,0.0,0.1752509797959363,-0.5531235681871158,-1.9261674773317277,1.0,0.41879678934877657,-1.771145557779168,0.0,0.0,0.2594375324819069,-1.8814746750426214,0.0,0.0,0.3305970235507743,1.369289982011704,-130.67417077004492,0.0,0.4182123159581439,-0.23517190024584197,0.0,0.0,0.2478612807806407,0.1232457472698732,-337.599074186145,0.0,0.20491482308199035,-0.420245155716267,-274.5745184340194,1.0,0.2640168781754976,0.27165838345687365,-74.85779263184187,0.0,0.4827960124890493,0.5519111076656428,-373.91307508868744,0.0,0.17525025891906482,-0.5531752895517379,-1.9221308711877871,1.0,0.41879611837319114,-1.7712643678421716,0.0,0.0,0.25943671350305797,-1.881622014433148,0.0,0.0,0.3305976195813513,1.3693896476740484,-130.68872646628895,0.0
4,0.025,Standing,0.416893833943584,-0.2608462681826569,0.0,0.0,0.24803014436405516,0.03325275489677934,-341.3303769875696,0.0,0.20334347187107746,-0.3150874017387299,-372.3317458772988,1.0,0.2649859441659139,0.19254146519666995,-92.30239566864863,0.0,0.48377065379905976,0.1936717272137401,-395.41049627382336,0.0,0.1744211921923133,-0.167693863512211,-171.61699070301322,1.0,0.4167819957491596,-0.40035684464520366,-371.3465269472361,0.0,0.2574468383537482,-0.3955023479471017,-262.3837470120635,0.0,0.3320363028101471,0.2841082619963122,-168.18535454240305,0.0,0.41689396823233804,-0.26083354061480163,0.0,0.0,0.24803028907671737,0.033264600385089764,-341.3335834328267,0.0,0.20334339079789532,-0.31509258391769807,-372.32484923202395,1.0,0.2649859962249378,0.19254456205298898,-92.30338184283352,0.0,0.4837710846189537,0.1937079295859121,-395.4201316111084,0.0,0.1744202782314782,-0.16773313474774826,-171.5893291926834,1.0,0.41678033078654475,-0.40055174380310954,-371.18718159811215,0.0,0.2574448900184404,-0.39572485844585403,-262.1203267272236,0.0,0.3320377023839729,0.28426458540264415,-168.22413138144964,0.0
5,0.030000000000000002,Standing,0.41533019184092745,-0.3090478718938148,0.0,0.0,0.2479888630317477,-0.008193744338786566,-340.41630808577787,0.0,0.2017599205174469,-0.317453302830035,-350.59597566712057,1.0,0.26592503795163563,0.1864414460725402,-110.9491162912675,0.0,0.4841120391071542,0.06551088425589982,-403.0824289564271,0.0,0.17429483859064696,-0.025276432146192983,-297.95751197768465,1.0,0.4180093059535231,0.24901445318777266,-754.2069243606705,0.0,0.2591159045402337,0.33560616054058473,-1032.2991388180146,0.26960553600981907,0.3308308433538516,-0.2437188868745864,-136.44651433138984,0.0,0.41533037715527327,-0.30903786452375914,0.0,0.0,0.24798901822556055,-0.008191642639417985,-340.41974215846665,0.0,0.20175988651593899,-0.31744384188981084,-350.6057957115464,1.0,0.2659250584958861,0.18643521734131394,-110.94954297158058,0.0,0.4841123985544445,0.06549675033587574,-403.09054564276704,0.0,0.17429399261157463,-0.025262796869679374,-297.97987434111513,1.0,0.41800671151419266,0.24882523392456643,-754.0607983034657,0.0,0.2591129043074502,0.33539395597927907,-1032.1070919466904,0.26825541294196675,0.3308330221161937,-0.2435598997281246,-136.50088839830462,0.0
6,0.035,Standing,0.4135088308408815,-0.3582865879437374,0.0,0.0,0.24799024192054114,0.00021737588313624698,-340.4468202461613,0.0,0.19971453053496152,-0.41016348707605993,-238.67859691632088,1.0,0.267119143799889,0.2364879242304435,-137.13516923024707,0.0,0.4849278544422022,0.15865800845021008,-421.71475922080185,0.0,0.17382533257068078,-0.09418940989885635,-210.57871898110062,1.0,0.42020315762635685,0.44663988059075205,-719.7685530634184,1.0,0.2618589277559072,0.5524438848056167,-1080.6285470115542,1.0,0.32881999457176886,-0.40890024186770324,-90.88128626128872,0.0,0.41350904646180436,-0.35828092491408825,0.0,0.0,0.2479903676587869,0.00021157522307009222,-340.44960266004665,0.0,0.19971458879436285,-0.410144939181417,-238.6950858899086,1.0,0.2671191061055137,0.23647647095079052,-137.13429886759448,0.0,0.48492799874438747,0.15861522732610092,-421.7180921615747,0.0,0.17382464718743793,-0.09415705313620112,-210.61944627365023,1.0,0.4201997285551256,0.4464698489455171,-719.6711763073616,1.0,0.2618550317387788,0.5522636680766497,-1079.9421424258705,1.0,0.328822878231198,-0.40875539324021143,-90.94002286459315,0.0
7,0.04,Standing,0.41171716384982315,-0.35118274973873365,0.0,0.0,0.24806766722992063,0.015224732949418618,-342.1622875877693,0.0,0.19746204185799637,-0.4515894225635776,-186.19721814384337,1.0,0.26838811369387416,0.250859674874391,-168.0008163814556,0.0,0.48607727671211387,0.2244584161750129,-448.68067766980795,0.0,0.17313795265329224,-0.13810720960850092,-152.6164159201315,1.0,0.42263764742850174,0.4938514396507753,-1098.2121631350697,1.0,0.2647202887054929,0.5752727651677575,-1648.2757930858318,1.0,0.3266796362475509,-0.43497097165458926,-52.51856027681299,0.0,0.41171738031279487,-0.3511833079102318,0.0,0.0,0.24806768308664456,0.015203189068260799,-342.16263935749026,0.0,0.1974623007329595,-0.45154912516611856,-186.22847366357257,1.0,0.2683879563689649,0.2508362413886916,-167.9967956918222,0.0,0.4860769126551544,0.22435727094136915,-448.6720044500156,0.0,0.17313765230733152,-0.13802936814862704,-152.6918050923376,1.0,0.42263359848877396,0.4937274323090744,-1098.0753578601561,1.0,0.26471586470044667,0.5751677415233721,-1647.7018248719505,1.0,0.32668298123642686,-0.43487674884730265,-52.57035858829241,0.0
8,0.045,Standing,0.409959621695053,-0.3425459510646771,0.0,0.0,0.24831439645531372,0.048080470650652574,-347.65768164577474,0.0,0.19481886267151455,-0.5297610053196568,-119.19362460781865,1.0,0.26982543016129124,0.2832961198085575,-206.74186917357054,0.0,0.4879799535282697,0.3736074298765491,-495.15476381591543,0.0,0.17190046120436708,-0.24970450911565473,-66.14141766592316,1.0,0.42447757800285013,0.3726047195717154,-1273.9068391063013,1.0,0.266836346962377,0.42435703122282,-2048.1080969079667,1.0,0.32506634483845775,-0.32625765466476947,-30.511822182069068,0.0,0.40995982351427107,-0.34254951308640974,0.0,0.0,0.24831425974270205,0.048051254245191445,-347.65462452675865,0.0,0.1948193969892429,-0.5297057514276987,-119.22673177196174,1.0,0.2698251198157294,0.2832663534802472,-206.7330707452504,0.0,0.48797892461695336,0.3734749955816078,-495.12901322450136,0.0,0.17190064499068583,-0.24960561692574115,-66.19944724323892,1.0,0.424473074130989,0.37251466199163713,-1273.7237737525707,1.0,0.2668316313872595,0.42429933171520223,-2047.521071302487,1.0,0.3250699702367021,-0.3262008932040188,-30.554617816683034,0.0
9,0.049999999999999996,Standing,0.40829123449062193,-0.32338099522298525,0.0,0.0,0.24874783926819102,0.08322945810204097,-357.41775324684824,0.0,0.19177064528630972,-0.6105013802118878,-68.58916506144216,1.0,0.2714088077259719,0.3109153287276128,-254.06851077373025,0.0,0.49069162068700983,0.5342355125359857,-565.3460348973758,0.0,0.17005034358043572,-0.3734445473279336,-16.513870651828757,1.0,0.4254940210179341,0.20555429790713364,-1284.7351699990531,1.0,0.26789533253089687,0.2120137546614919,-2189.3976124523206,1.0,0.3242486555273958,-0.16441534458126922,-21.625713113786265,0.0,0.40829141554204457,-0.32338537841197923,0.0,0.0,0.2487475248576063,0.0831966650700117,-357.41062452188197,0.0,0.1917715357639233,-0.6104301271147501,-68.61966434427617,1.0,0.2714083161941175,0.31088042482366307,-254.05306283813573,0.0,0.4906897760780845,0.5340726624166067,-565.2967065646206,0.0,0.17005116660426473,-0.37332359932452547,-16.542025788260027,1.0,0.4254892303032837,0.20549814295769375,-1284.5367119314806,1.0,0.26789053148359704,0.21199685731631104,-2188.817898176566,1.0,0.32425237863598294,-0.16439573639740507,-21.6627158680689,0.0
