muscle,tendon_id,actuator_id,initial_length,initial_velocity,initial_force,initial_activation
hamstrings_r,0,0,0.4201223480305749,0.0,0.0,0.0
bifemsh_r,1,1,0.24598155950629338,0.0,-297.4483830027054,0.0
glut_max_r,2,2,0.20950694767158395,0.0,0.0,0.0
iliopsoas_r,3,3,0.26094546743216207,0.0,-31.629667157490143,0.0
rect_fem_r,4,4,0.4758471176512823,0.0,-238.0556294928676,0.0
vasti_r,5,5,0.18278689907843715,0.0,0.0,0.0
gastroc_r,6,6,0.45015657892407046,0.0,0.0,0.0
soleus_r,7,7,0.2913979577828231,0.0,0.0,0.0
tib_ant_r,8,8,0.30378507609891625,0.0,0.0,0.0
hamstrings_l,9,9,0.42012234803057485,0.0,0.0,0.0
bifemsh_l,10,10,0.24598155950629344,0.0,-297.4483830027064,0.0
glut_max_l,11,11,0.20950694767158398,0.0,0.0,0.0
iliopsoas_l,12,12,0.26094546743216207,0.0,-31.629667157490143,0.0
rect_fem_l,13,13,0.4758470910762818,0.0,-238.05516832745428,0.0
vasti_l,14,14,0.18278656860603554,0.0,0.0,0.0
gastroc_l,15,15,0.45015657892407057,0.0,0.0,0.0
soleus_l,16,16,0.29139795778282307,0.0,0.0,0.0
tib_ant_l,17,17,0.3037850760989162,0.0,0.0,0.0
