generation,min_cost,mean_cost,best_cost,simulation_time
1,17.32,18.5272,17.32,17.32
2,17.2,18.0832,17.2,17.2
3,17.3,17.881600000000002,17.2,17.2
4,17.24,17.8496,17.2,17.2
5,17.18,17.6112,17.18,17.18
6,17.2,17.684,17.18,17.18
7,17.18,17.5608,17.18,17.18
8,17.18,17.458399999999997,17.18,17.18
9,17.18,17.5616,17.18,17.18
10,17.16,17.2984,17.16,17.16
11,17.16,17.3056,17.16,17.16
12,17.18,17.4504,17.16,17.16
13,17.18,17.3752,17.16,17.16
14,17.18,17.4824,17.16,17.16
15,17.14,17.369600000000002,17.14,17.14
16,17.16,17.492,17.14,17.14
17,17.18,17.332,17.14,17.14
18,17.16,17.281599999999997,17.14,17.14
19,17.12,17.3032,17.12,17.12
20,17.18,17.425600000000003,17.12,17.12
21,17.14,17.3144,17.12,17.12
22,17.16,17.588800000000003,17.12,17.12
23,17.16,17.3632,17.12,17.12
24,17.14,17.448,17.12,17.12
25,17.14,17.424799999999998,17.12,17.12
26,17.14,17.285600000000002,17.12,17.12
27,17.14,17.4616,17.12,17.12
28,17.16,17.408,17.12,17.12
29,17.14,17.3144,17.12,17.12
30,17.16,17.368,17.12,17.12
31,17.18,17.3232,17.12,17.12
32,17.14,17.3536,17.12,17.12
33,17.14,17.2472,17.12,17.12
34,17.16,17.256800000000002,17.12,17.12
35,17.18,17.3712,17.12,17.12
36,17.14,17.2544,17.12,17.12
37,17.18,17.4712,17.12,17.12
38,17.14,17.268800000000002,17.12,17.12
39,17.14,17.258399999999998,17.12,17.12
40,17.14,17.2592,17.12,17.12
41,17.14,17.2984,17.12,17.12
42,17.14,17.275199999999998,17.12,17.12
43,17.14,17.2296,17.12,17.12
44,17.14,17.3176,17.12,17.12
45,17.14,17.308,17.12,17.12
46,17.14,17.3152,17.12,17.12
47,17.16,17.2712,17.12,17.12
48,17.14,17.3568,17.12,17.12
49,17.16,17.4376,17.12,17.12
50,17.14,17.4224,17.12,17.12
51,17.14,17.284000000000002,17.12,17.12
52,17.16,17.332,17.12,17.12
53,17.16,17.276,17.12,17.12
54,17.16,17.34,17.12,17.12
55,17.14,17.406399999999998,17.12,17.12
56,17.14,17.3048,17.12,17.12
57,17.14,17.3704,17.12,17.12
58,17.14,17.331999999999997,17.12,17.12
59,17.16,17.3016,17.12,17.12
60,17.14,17.3296,17.12,17.12
61,17.14,17.3064,17.12,17.12
62,17.14,17.2776,17.12,17.12
63,17.16,17.322400000000002,17.12,17.12
64,17.14,17.3144,17.12,17.12
65,17.14,17.248,17.12,17.12
66,17.14,17.343199999999996,17.12,17.12
67,17.16,17.340000000000003,17.12,17.12
68,17.14,17.3552,17.12,17.12
69,17.14,17.34,17.12,17.12
70,17.16,17.2488,17.12,17.12
71,17.14,17.1816,17.12,17.12
72,17.14,17.2232,17.12,17.12
73,17.14,17.320000000000004,17.12,17.12
74,17.14,17.236800000000002,17.12,17.12
75,17.14,17.316000000000003,17.12,17.12
76,17.14,17.400000000000002,17.12,17.12
77,17.14,17.353599999999997,17.12,17.12
78,17.14,17.3176,17.12,17.12
79,17.14,17.2912,17.12,17.12
80,17.14,17.3192,17.12,17.12
81,17.14,17.432,17.12,17.12
82,17.14,17.2352,17.12,17.12
83,17.14,17.264,17.12,17.12
84,17.14,17.2848,17.12,17.12
85,17.14,17.3992,17.12,17.12
86,17.14,17.322400000000002,17.12,17.12
87,17.14,17.256,17.12,17.12
88,17.12,17.281599999999997,17.12,17.12
89,17.14,17.3552,17.12,17.12
90,17.08,17.372,17.08,17.08
91,17.12,17.2424,17.08,17.08
92,17.14,17.404,17.08,17.08
93,17.12,17.188,17.08,17.08
94,17.08,17.3,17.08,17.08
95,17.1,17.3064,17.08,17.08
96,17.12,17.2368,17.08,17.08
97,17.12,17.3024,17.08,17.08
98,17.12,17.3416,17.08,17.08
99,17.14,17.4496,17.08,17.08
100,17.08,17.2704,17.08,17.08
101,17.12,17.238400000000002,17.08,17.08
102,17.08,17.3704,17.08,17.08
103,17.12,17.4896,17.08,17.08
104,17.1,17.3576,17.08,17.08
105,17.1,17.3688,17.08,17.08
106,17.1,17.297600000000003,17.08,17.08
107,17.1,17.348799999999997,17.08,17.08
108,17.1,17.32,17.08,17.08
109,17.1,17.2496,17.08,17.08
110,17.1,17.3136,17.08,17.08
111,17.08,17.370400000000004,17.08,17.08
112,17.12,17.3496,17.08,17.08
113,17.12,17.2528,17.08,17.08
114,17.12,17.327199999999998,17.08,17.08
115,17.1,17.2728,17.08,17.08
116,17.12,17.336000000000002,17.08,17.08
117,17.12,17.3312,17.08,17.08
118,17.1,17.248800000000003,17.08,17.08
119,17.12,17.296800000000005,17.08,17.08
120,17.12,17.3568,17.08,17.08
121,17.1,17.3904,17.08,17.08
122,17.1,17.2424,17.08,17.08
123,17.12,17.3456,17.08,17.08
124,17.12,17.2648,17.08,17.08
125,17.12,17.2344,17.08,17.08
126,17.12,17.3488,17.08,17.08
127,17.1,17.3064,17.08,17.08
128,17.12,17.2424,17.08,17.08
129,17.08,17.2344,17.08,17.08
130,17.12,17.254400000000004,17.08,17.08
131,17.12,17.3608,17.08,17.08
132,17.1,17.305600000000002,17.08,17.08
133,17.08,17.256,17.08,17.08
134,17.08,17.285600000000002,17.08,17.08
135,17.12,17.2816,17.08,17.08
136,17.12,17.218400000000003,17.08,17.08
137,17.1,17.278399999999998,17.08,17.08
138,17.12,17.212,17.08,17.08
139,17.1,17.2,17.08,17.08
140,17.08,17.2456,17.08,17.08
141,17.12,17.265600000000003,17.08,17.08
142,17.12,17.1752,17.08,17.08
143,17.12,17.292,17.08,17.08
144,17.08,17.152800000000003,17.08,17.08
145,17.12,17.164,17.08,17.08
146,17.12,17.191200000000002,17.08,17.08
147,17.12,17.1544,17.08,17.08
148,17.12,17.203200000000002,17.08,17.08
149,17.12,17.1936,17.08,17.08
150,17.12,17.1352,17.08,17.08
151,17.12,17.152800000000003,17.08,17.08
152,17.12,17.136800000000004,17.08,17.08
153,17.12,17.1456,17.08,17.08
154,17.12,17.1464,17.08,17.08
155,17.08,17.1976,17.08,17.08
156,17.12,17.171999999999997,17.08,17.08
157,17.1,17.1416,17.08,17.08
158,17.08,17.236,17.08,17.08
159,17.1,17.1792,17.08,17.08
160,17.08,17.1936,17.08,17.08
161,17.1,17.152800000000003,17.08,17.08
162,17.1,17.184,17.08,17.08
163,17.08,17.136800000000004,17.08,17.08
164,17.08,17.22,17.08,17.08
165,17.1,17.1256,17.08,17.08
166,17.12,17.191200000000002,17.08,17.08
167,17.12,17.1232,17.08,17.08
168,17.12,17.1264,17.08,17.08
