step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_lumbar_extension,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,qvel_dof_37,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0002688606270606181,0.9492513125599441,-0.00606646433426353,0.010316276582608972,-0.0035999980811905817,-0.3957217168507037,-0.008280151372284687,0.00556137234338694,0.0621250115716628,0.020211159994523446,0.05614967098855549,0.02479914923778448,-0.22404844214349454,0.026653255849320993,-0.029099175131990052,-0.4014717338288968,-0.025612325579903117,0.010316276589344258,-0.0035999980811104683,-0.39572171685075713,-0.008280151391203201,0.005561372359219322,0.06212501157099637,0.020211159994697483,0.056149670987832086,0.02479914923786977,-0.22404844214497113,-0.02665325584000317,-0.02909917513188908,-0.4014717338288277,0.025612325589029386,0.006585740263928588,-0.028827866185506083,-0.08049465435420534,0.08159572270880916,-0.028827866185506083,-0.08049465435420534,-0.08159572269963554,-0.05377212541212362,-0.14973748801117912,-1.2132928668527059,2.0632553165217944,0.007800383761883616,-0.004343370140739147,-1.6560302744569373,1.112274468677388,-0.09299768566744102,-0.021768001095310918,-0.06406580228890173,0.00782984755689542,-0.12968842869891237,-0.015348830135801546,0.010164973601989011,0.00565323422064961,0.0015348840193767205,2.0632553178688515,0.007800383777906355,-0.00434337015143214,-1.6560302782406402,1.1122744718438644,-0.09299768580072752,-0.02176800106050358,-0.0640658024335822,0.007829847573953526,-0.12968842899422922,0.015348831999366057,0.010164973622183453,0.00565323423445677,-0.0015348821941225952,1.3171480527857176,-0.005573237101216542,0.0010691291589320785,-0.0008554582381705209,-0.0055732371012165065,0.0010691291589320785,0.0008554600728936579,-0.09570440894062783,-0.00019771760510768993,0.9717544169286635,nan,nan,nan,nan,nan,nan
1,0.01,Standing,0.00022296127542542962,0.950073251515002,0.003374310555713478,-0.01167943608970663,-0.003467610287773487,-0.39571882112300466,0.031660095380459205,-0.29962916822520075,0.06296937245622766,0.019832327942831778,0.05716445166596361,0.02627630502617599,-0.22081843147470678,0.02696428026982024,-0.02934059555480904,-0.40161564171428954,-0.02565029936403973,-0.008527936065754802,-0.0035755251471065387,-0.39561677928000194,0.013642377474328619,-0.1289077945100425,0.06250165433397133,0.01985788648195839,0.05664088140082791,0.0262179857000394,-0.2222902638391429,-0.026790128818129824,-0.029241015005133385,-0.4015464095727004,0.025632884845036914,-0.0034036203819337524,-0.0297497506536199,-0.07997855248940676,0.08137120442893662,-0.028820760894465558,-0.08047053933570703,-0.08159053638413019,0.09836438049720955,0.16438779101156994,1.8881549779954014,-4.39914253446312,0.026477558683418927,0.0005791455398061448,7.988049350548779,-61.038108113717534,0.168872176912973,-0.07576641033833338,0.202956135481623,0.29543115767830225,0.6460021337575531,0.0622048840998496,-0.04828408456379772,-0.028781577078549184,-0.007594756827322618,-3.768842531019812,0.004894586800785881,0.020987514151034663,4.384505773106364,-26.893833373852363,0.07532855259499215,-0.07065470254781815,0.09824208259916511,0.2837672924339263,0.3516356611656426,-0.027374595625331316,-0.0283679746488609,-0.01493514877452962,0.004111851201505223,-1.997872129172468,-0.18437689362276347,0.1032203729597173,-0.0449036559745079,0.0014210582081052078,0.004823003699662678,0.0010372631010709874,-0.09570284429633702,-0.0001976679442575603,0.9715105590468684,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.00012320683365238513,0.9490519048655992,-0.0016582128690801985,-0.005147408852571501,-0.0036350585688778524,-0.39564042438606184,0.03693413494812586,-0.4167860558454411,0.06301486326812866,0.019389391578081203,0.05743891312546911,0.02689116827682122,-0.2203050619005196,0.02698950446659426,-0.029343911336976967,-0.4016458657794746,-0.02565622976431103,0.005487273554766629,-0.0037661537882598254,-0.39547427266200685,-0.018483364060434573,0.05746203555071494,0.0613765871889289,0.019625219686511673,0.05560953119472948,0.02685442797339377,-0.2248398362536346,-0.02645274927765101,-0.029045278342963835,-0.4014318633478763,0.025602580626282574,0.001812558736633673,-0.031540188697611035,-0.07902222929988503,0.08095080062711371,-0.028875621168310234,-0.08046620396764093,-0.08158391397818937,-0.06923362181556295,-0.20426932988054955,-1.0065046849587354,1.306405447427026,-0.03348965622087302,0.015679347388568222,1.054807913533332,-23.431377524048067,0.009098162380200309,-0.08858727295011481,0.05489229190109973,0.12297265012904521,0.1026739148374376,0.005044839354804119,-0.0006631564335855961,-0.0060448130370082676,-0.0011860800542599099,2.8030419241042863,-0.038125728230657324,0.028501323599014354,-6.425148306952638,37.27396601215149,-0.2250134290084858,-0.0465333590893436,-0.20627004121968562,0.1272884546708735,-0.5099144828983376,0.06747590809576248,0.03914733243390983,0.02290924496482064,-0.006060843750867664,1.043235823713485,-0.35808760879822743,0.19126463790434595,-0.08408076036458317,-0.010972054768935138,0.0008670736132195597,0.001324481188163368,-0.0957584467973308,-0.00019757309479965436,0.9710535565094242,nan,nan,nan,nan,nan,nan
3,0.02,Standing,5.317844661672301e-05,0.9494282784861557,0.007135589457746442,-0.013804302180708876,-0.0038783661959375286,-0.39554710059482745,0.033734968290884806,-0.4405098270167178,0.06283054966228759,0.018941130918142732,0.057500475501779696,0.02733371588793761,-0.22051898082100274,0.026937332750623287,-0.02932506129813284,-0.40163330872806574,-0.02565358811982448,-0.014665653044340105,-0.003623731815549393,-0.3954147390999724,0.007735978885135896,-0.1488814244302004,0.06171968081865944,0.01932421015492885,0.056056457640739986,0.02853214752857803,-0.22277378583970334,-0.02662412136752129,-0.0292046201010112,-0.40152436838511785,0.025626764397347138,-0.008077253948140904,-0.032699519211165755,-0.07836132856404696,0.08066815028658192,-0.028892251346162183,-0.0804471406396953,-0.08157765703747015,0.03527705605382163,0.07527472411129968,1.758760465365328,-1.7313786656274752,-0.04866152541193525,0.01866475824687461,-0.6398333314482119,-4.744754234255339,-0.03686272116821624,-0.0896521319876941,0.01231247526211772,0.08850952222327853,-0.04278378409663022,-0.010434343194194609,0.0037700077688253685,0.0025114102817670875,0.0005283288973095262,-4.030585319821347,0.028484394542086483,0.011906712406899365,5.2438685891140935,-41.268691996183065,0.06861872594610807,-0.06020190631656477,0.08938528920210137,0.3355439110368521,0.4132100827862555,-0.03427441797405553,-0.03186835160947325,-0.018501007448310205,0.00483675421291247,-1.9779625369549154,-0.23186610271094388,0.1321801471676157,-0.05653006810635885,-0.003326035570389934,0.003812665589124648,0.0012513881438446766,-0.09590580868884815,-0.00019746980031562364,0.9705585550629948,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.0002526985977206511,0.9488100710199346,0.009941458746676951,-0.012137326068140912,-0.00401287791799035,-0.3954833795506584,0.01909743980651807,-0.41131300859880343,0.06219707127764529,0.018639375165806164,0.0570592222518853,0.027932552068575353,-0.22168182400515732,0.026771329610397035,-0.029230485401833012,-0.40158232813347067,-0.025639708342110816,-0.013648352952077553,-0.0038016048998786847,-0.3952839765857434,-0.014386001635913397,-0.03654876083467214,0.060911553654251376,0.019080386148500276,0.05534704341909815,0.029133859143619364,-0.22454367405222853,-0.026384304389682468,-0.02906860298390267,-0.4014449856022972,0.025605700453657475,-0.011989022624686098,-0.03379099849453094,-0.0777322322357762,0.08040148563595219,-0.028941970054789677,-0.08043902927903576,-0.08157077758758446,-0.06117540886747483,-0.12364149324422502,0.5611738577861018,0.33339522251359277,-0.026902344410564247,0.012744208833812769,-2.927505696873348,5.83936368358288,-0.1266956769284593,-0.06035115046731393,-0.08825064997888037,0.11976723612754885,-0.23256863683091578,-0.03320062804525038,0.018915179259965748,0.010196118919011187,0.002775955542733032,0.20346001845251038,-0.03557461686585836,0.026152502845800882,-4.424396104209858,22.46653271910565,-0.16162543288161255,-0.04876480128571431,-0.14188284432836748,0.12034232300826692,-0.35397764250503905,0.04796339556776441,0.02720342342170582,0.015876556564133778,-0.004212788737932725,-0.7823537353090388,-0.21829585667303741,0.12581926565414964,-0.053332930125944734,-0.009943741725498577,0.0016222721319061858,0.0013758899771357436,-0.09610228290914659,-0.00019733048174494532,0.9699405894840635,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-4.729982380029772e-05,0.9495420444091798,0.022687904183206056,-0.028343742970583126,-0.004123639141780948,-0.3953862307807884,0.017035646712218713,-0.37509457463492407,0.06193812742435316,0.018316534791989397,0.05696008693121177,0.0287543719765903,-0.22189992670213485,0.026709216276977307,-0.029229516230066855,-0.40156757043301755,-0.025636981948601423,-0.03820153773055462,-0.003933105711077813,-0.39510757497836274,0.00312187122887787,-0.013971529359790031,0.06128465182321436,0.018663902159051497,0.055851597213702225,0.03001400509127831,-0.22323850707535764,-0.026498628872752082,-0.029174815467645065,-0.40150158883705644,0.025620988087482494,-0.02635759340119008,-0.03451664774645602,-0.07725927195150824,0.08021063645750698,-0.028956858538549103,-0.0804129161297859,-0.08156287157689435,0.04107975478407068,0.14639467784903193,2.5492890873058207,-3.2412833804884422,-0.022152244758119572,0.01942975397399449,-0.41235861885987113,7.243686792775871,-0.05178877065842526,-0.06456807476335323,-0.019827064134705932,0.16436398160298896,-0.043620539395507224,-0.012422666683945937,0.00019383435323121895,0.0029515400906265756,0.0005452787018786244,-4.910636955695413,-0.026300162239825627,0.03528032147612892,3.501574572958253,4.515446294976421,0.07461963379259692,-0.08329679788975541,0.10091075892081439,0.17602918953178961,0.26103339537417813,-0.022864896613923033,-0.02124249674847889,-0.0113206469518492,0.0030575267650037093,-2.8737141553007968,-0.14512985038501558,0.09459205685359247,-0.03816983568904061,-0.002977696751885475,0.0052226298499726195,0.0015812021380237678,-0.0963539473229832,-0.00019718469859588108,0.9692517346011688,nan,nan,nan,nan,nan,nan
6,0.035,Standing,0.00015754899484118342,0.9505231344460735,0.03366113622202094,-0.04440010942985581,-0.004187040769097768,-0.3953015036706829,0.018935702067968636,-0.33883348956806614,0.061808806883713485,0.01802710737561915,0.057001181504140894,0.029269906940596526,-0.22178773554465434,0.026701178630879917,-0.02924878238323661,-0.4015690236509836,-0.025638220679603894,-0.06605008753684923,-0.004042153800270215,-0.3949579806962355,0.038602238100288164,-0.07183374115199573,0.062298473387957076,0.018138256075092195,0.0571424761253513,0.030176622285582596,-0.22040620528415827,-0.026823793277683066,-0.029371420850429243,-0.4016316131514279,0.025654451581990888,-0.03847526837006864,-0.03517158993618749,-0.07679505559824946,0.0800325767269978,-0.028976560889149905,-0.08037956783309227,-0.08155249912787109,0.04096976372829623,0.19621800737875084,2.194646407762977,-3.2112732918545377,-0.012680325463363796,0.016945422021100595,0.38001107114998467,7.252217013371585,-0.02586410812793454,-0.05788548327404883,0.008218914585825878,0.10310699280124563,0.022438231496101718,-0.001607529219477705,-0.00385323063395119,-0.0002906435932196758,-0.0002477462004941243,-5.569709961258922,-0.02180961783848052,0.029918856425448594,7.096073374282058,-11.57244235844114,0.20276431294854272,-0.10512921679186041,0.2581757823298154,0.032523438860856735,0.5664603582398717,-0.06503288098619703,-0.03932107655683581,-0.026004862874292385,0.006692698901678923,-2.423534993775713,-0.13098843794629428,0.09284327065175531,-0.035611946101836246,-0.00394047012016062,0.006669659338726479,0.00207448980465151,-0.09676442030345529,-0.0001971290678657601,0.9690262938754572,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-9.322021899712559e-05,0.9506067035377035,0.035835414122783675,-0.05072318950212865,-0.004203923243405711,-0.3952299290209251,0.021786490844659587,-0.3034728798212982,0.06171876359399917,0.01777680512893072,0.05708085112943445,0.02958815863389815,-0.22158007306267094,0.026714421500649763,-0.029255761575274923,-0.40158188355097163,-0.02564062631129887,-0.07018973936429991,-0.004302306382172501,-0.3948181441259079,0.02828888428140116,0.1374035441546108,0.06204462236783968,0.01777070775958373,0.057115750560864986,0.029875767049370866,-0.22114775753338364,-0.026744473791580868,-0.029291977468156156,-0.40160211413019287,0.025645691649277196,-0.04120753346819661,-0.03568962049849253,-0.07641896356448208,0.07989552532066256,-0.02903627532958109,-0.08036003118852969,-0.08154192395192929,-0.050153842767661806,0.016713818325992724,0.434855580152548,-1.2646160144545682,-0.003376494861588749,0.014314929951562529,0.5701577553381904,7.072121949353582,-0.018008657942862202,-0.0500604493376864,0.015933925058710816,0.06365033866032446,0.04153249639668123,0.002648573953969147,-0.0013958384076625395,-0.002571979997597963,-0.0004811263389948964,-0.8279303654901371,-0.052030516380457116,0.027967314065521935,-2.062670763777401,41.84745706132131,-0.05077020402347862,-0.0735096631016931,-0.005345112897263582,-0.06017104724234587,-0.14831044984507336,0.01586389722043964,0.015888676454617036,0.005899804247013869,-0.001751986542738308,-0.5464530196255932,-0.10360611246100739,0.07521840675347677,-0.02741028126704776,-0.01194288808623702,0.0039073289125176915,0.0021150351883603784,-0.09728401577837344,-0.00019713536968299372,0.9691227703095887,nan,nan,nan,nan,nan,nan
8,0.045,Standing,1.0173878368613168e-05,0.9517669381170188,0.04372045018661591,-0.06879411076942599,-0.004263508812068009,-0.39514114343549084,0.03655161776311362,-0.2814897161989681,0.06206877958816834,0.01745037648050476,0.057628951269891,0.029742850142865776,-0.22040822680668104,0.02684741040540044,-0.0293428703696923,-0.40163346796822214,-0.025654456145985962,-0.09458206085427093,-0.0041826894976584135,-0.394833545590992,0.06216588956053876,-0.03216080194474724,0.06287160432495378,0.017394578397013687,0.05826271302128266,0.030015336860233378,-0.21835837735384664,-0.027074650253116155,-0.02948147802771624,-0.40173012410296915,0.025678671445934876,-0.049706099075596505,-0.03592729844379911,-0.07617358676263337,0.0798202148858816,-0.02906838234887261,-0.08030992252773635,-0.08152628409426586,0.02067881947314775,0.2320469158630678,1.5770072127664474,-3.6141842534594684,-0.011917113732459593,0.017757117086846127,2.953025383690807,4.3966327244660235,0.07000319883383256,-0.06528572968519211,0.10962002809130984,0.030938301793525386,0.2343692511979794,0.026597780950135746,-0.017421758883475365,-0.010316883450103145,-0.002765966937418884,-4.878464297994203,0.02392337690281745,-0.003080293016818652,6.775401055827521,-33.91286921987161,0.16539639142282078,-0.07522587251400883,0.229392492083534,0.027913962172502083,0.5578760359074023,-0.06603529230705729,-0.037900111912017004,-0.025601994555258016,0.006595959331536182,-1.6997131214799794,-0.04753558906131616,0.04907536036974,-0.015062086956192575,-0.006421403858304857,0.010021732158668223,0.0031279715326841522,-0.09795881338818067,-0.00019718119092726187,0.9693540772224357,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.00039987924488602385,0.9519229097549466,0.04197938528828092,-0.07580153471884303,-0.0043126415881019455,-0.39506530410469165,0.05176711480695824,-0.26302624967192123,0.06247852299669941,0.01711814603949767,0.058263085143828705,0.029654809998699103,-0.2191541413147631,0.026999852352383898,-0.02941118601509877,-0.40169696987896647,-0.025669298813658162,-0.09253598511809646,-0.004353741806242314,-0.3947718384820434,0.04758822306923972,0.09938513636671203,0.062397324772273666,0.01713143713189138,0.05802687075323653,0.029710848132066904,-0.2194042943284928,-0.026964206184046647,-0.029378993728794,-0.4016870563527662,0.02566632722412023,-0.048015154824978604,-0.03609056481756486,-0.07599628255747835,0.07977394089188286,-0.029142653518694533,-0.08028455430171443,-0.08151325870472845,-0.0820106246509274,0.031194327585552184,-0.34821297966699816,-1.401484789883408,-0.009826555206787182,0.015167866159840743,3.0430994087689225,3.6926933054093785,0.08194868170621458,-0.06644608820141816,0.12682677478754034,-0.017608028833334385,0.2508170983835874,0.03048838939669103,-0.013663129081293421,-0.012700382148866582,-0.0029685335344397062,0.4092151472348915,-0.03421046171678005,0.012341421789721987,-2.9155332982598097,26.309187662291855,-0.09485591053602296,-0.05262825302446136,-0.047168453609225974,-0.06089774563329464,-0.209183394929231,0.0220888138139015,0.02049685978444827,0.008613550040588232,-0.00246884436292945,0.3381888501235797,-0.03265327475315029,0.03546084103100386,-0.00925479879975015,-0.014854233964384157,0.005073645204385377,0.0026050779074837252,-0.09874426074695548,-0.00019725295635493427,0.9697397166867309,nan,nan,nan,nan,nan,nan
