step,time,phase_name,qpos_pelvis_tx,qpos_pelvis_ty,qpos_pelvis_tilt,qpos_hip_flexion_r,qpos_knee_r_translation1,qpos_knee_r_translation2,qpos_knee_angle_r,qpos_ankle_angle_r,qpos_rect_fem_r_rect_fem_r-P3_x,qpos_rect_fem_r_rect_fem_r-P3_y,qpos_vasti_r_vas_int_r-P4_x,qpos_vasti_r_vas_int_r-P4_y,qpos_vasti_r_vas_int_r-P3_y,qpos_vasti_r_vas_int_r-P3_z,qpos_gastroc_r_med_gas_r-P2_x,qpos_gastroc_r_med_gas_r-P2_y,qpos_gastroc_r_med_gas_r-P2_z,qpos_hip_flexion_l,qpos_knee_l_translation1,qpos_knee_l_translation2,qpos_knee_angle_l,qpos_ankle_angle_l,qpos_rect_fem_l_rect_fem_l-P3_x,qpos_rect_fem_l_rect_fem_l-P3_y,qpos_vasti_l_vas_int_l-P4_x,qpos_vasti_l_vas_int_l-P4_y,qpos_vasti_l_vas_int_l-P3_y,qpos_vasti_l_vas_int_l-P3_z,qpos_gastroc_l_med_gas_l-P2_x,qpos_gastroc_l_med_gas_l-P2_y,qpos_gastroc_l_med_gas_l-P2_z,qpos_iliopsoas_r_psoas_r-P3_x,qpos_iliopsoas_r_psoas_r-P3_y,qpos_iliopsoas_r_psoas_r-P3_z,qpos_iliopsoas_l_psoas_l-P3_x,qpos_iliopsoas_l_psoas_l-P3_y,qpos_iliopsoas_l_psoas_l-P3_z,qvel_dof_0,qvel_dof_1,qvel_dof_2,qvel_dof_3,qvel_dof_4,qvel_dof_5,qvel_dof_6,qvel_dof_7,qvel_dof_8,qvel_dof_9,qvel_dof_10,qvel_dof_11,qvel_dof_12,qvel_dof_13,qvel_dof_14,qvel_dof_15,qvel_dof_16,qvel_dof_17,qvel_dof_18,qvel_dof_19,qvel_dof_20,qvel_dof_21,qvel_dof_22,qvel_dof_23,qvel_dof_24,qvel_dof_25,qvel_dof_26,qvel_dof_27,qvel_dof_28,qvel_dof_29,qvel_dof_30,qvel_dof_31,qvel_dof_32,qvel_dof_33,qvel_dof_34,qvel_dof_35,qvel_dof_36,com_x,com_y,com_z,cop_x,cop_y,cop_z,grf_x,grf_y,grf_z
0,0.005,Standing,-0.0043389024538703115,0.9486327356667364,-0.01173067155227659,0.04256442870171986,-0.003394931411220989,-0.3958572822937525,-0.05295608714439742,0.027985674204413946,0.060541531133206865,0.020637632899274488,0.05442349523198071,0.02501433890648313,-0.2275313581879033,0.026240879204103635,-0.02884742051133235,-0.4013104210109779,-0.025571087915385773,0.051426865422551364,-0.0033166763965421634,-0.39591418370013026,-0.07214617842596101,0.03975555393576338,0.059864691756138094,0.020818493843689556,0.0536855434183873,0.025104683366856912,-0.22902660266675762,-0.02606394624223401,-0.028744454908050478,-0.4012402127245907,0.02555339462924799,-0.010073394122063156,-0.042219297360513434,-0.040384508349413734,0.052989723453629706,-0.04104406815243209,-0.08052254933380827,-0.8677804907740623,-0.27345286665271157,-2.346134310455318,8.512885740343972,0.048813717755802205,-0.031456458750499364,-10.591217428879483,5.597134840882789,-0.4096937733586289,0.06352657985489721,-0.4093009536038585,0.05086778129662548,-0.826271637580662,-0.09782415917927338,0.06051589773352958,0.03791579780442223,0.009782416922845408,10.285373084510272,0.06446472069156726,-0.04283674002605618,-14.4292356851922,7.951110787152676,-0.5450616487723826,0.0996987687379108,-0.5568913163225406,0.06893667337138233,-1.1253205333515253,0.1332107515531974,0.08110901838990457,0.051957455081860185,-0.01332107415040168,-2.014678824412631,-2.6838594721026867,8.023098330117254,-5.722055309274059,-2.448813630486418,-0.004509866761654548,-0.09570044520114983,-0.00019313370727725945,0.9717573621916887,nan,nan,nan,nan,nan,nan
1,0.01,Standing,-0.010317909296301185,0.9467729448051846,-0.028147499578429103,0.09698153876814733,-0.0031292724158605463,-0.3959836029039895,-0.11460849957635233,0.11633794955775685,0.05807749163223827,0.020977540856754507,0.0516052480783017,0.027247035242577277,-0.2325417605311423,0.02555084316937021,-0.02851666749477639,-0.4010745443756698,-0.02551146080244777,0.11636790014463927,-0.002552309131688452,-0.3963897022710467,-0.14338774339253316,-0.24500031957346466,0.056640537550004665,0.02160360660086262,0.05041999726403271,0.02575317707594866,-0.23473379955233206,-0.02538879304877308,-0.02837497393574144,-0.4009725205202182,0.02548587931741854,-0.022285338576914095,-0.05877487767343115,0.009701527811696455,0.017594202133872187,-0.05607354427318803,-0.08050004395108307,-1.1958013684861746,-0.37195817231036454,-3.283365605230502,10.883422013285495,0.05313179907208852,-0.025264122047399036,-12.330482486390984,17.67045507066858,-0.4928079001937191,0.06798159149600384,-0.5636494307358015,0.4465392672188299,-1.0020804686478058,-0.13800720694668528,0.06615060331119224,0.04717532706162408,0.011925422587600132,12.988206944417582,0.15287345297074234,-0.09510371418329173,-14.24831299331443,-56.95117470184561,-0.6448308412266855,0.1570225514346128,-0.6531092308709179,0.12969874181834962,-1.1414393771148903,0.13503063869218618,0.07389619446180766,0.05353844087450429,-0.013503062365890536,-2.442388890970187,-3.311116062583542,10.017207232222038,-7.079104263951503,-3.005895224151187,0.004501076545041104,-0.09569319194937176,-0.00019424351964673062,0.9715787480999272,nan,nan,nan,nan,nan,nan
2,0.015,Standing,-0.016538954467933957,0.9439860285119029,-0.0454315281071521,0.14688343685813077,-0.002864177100956283,-0.3960719569316031,-0.1586119299194511,0.18791876236170718,0.056132310190916156,0.02125507004891144,0.04899256623225979,0.030517165219537564,-0.2363100475769296,0.02496293899913967,-0.028296803948275856,-0.40089371239479177,-0.025466387205905654,0.19245955416604177,-0.002117580352773386,-0.39673944537793615,-0.24811405053778018,-0.23061274075559918,0.05286901920125979,0.022270613055778116,0.04648189518078662,0.026100413471679067,-0.24343983913280415,-0.02435910558076522,-0.027831344468900808,-0.40056089634864406,0.02538291057908906,-0.03157508134531005,-0.07181008186841717,0.050389406811135615,-0.010592088358411755,-0.06777356482812576,-0.08039082096110337,-1.2442090343265542,-0.557383258656337,-3.4568057057445993,9.980379617996688,0.053019062980852606,-0.01767080552271684,-8.80068606861976,14.316162560790064,-0.38903628826442244,0.05550583843138609,-0.5225363692083812,0.6540259953920576,-0.7536574091574589,-0.1175808340461077,0.04397270930010634,0.03616639617560394,0.009014719308423763,15.218330804280496,0.0869457557830132,-0.06994862137788838,-20.945261429049406,2.8775157635730935,-0.7543036697489751,0.13340129098309933,-0.7876204166492176,0.06944727914608177,-1.74120791609442,0.20593749360157154,0.10872589336812673,0.08232483431482972,-0.020593747665895543,-1.8579485536791902,-2.6070408389972046,8.137575799887832,-5.637258098456789,-2.340004110987544,0.021844597995939526,-0.09574407303282903,-0.00019559145537718117,0.9711944373024897,nan,nan,nan,nan,nan,nan
3,0.02,Standing,-0.021306131392739514,0.9415955682793281,-0.059116738966972004,0.18319645597020967,-0.0026618210692848335,-0.3961561805591266,-0.18468091624249405,0.2469434311186452,0.05484796818974147,0.02145286170849649,0.04726568894368534,0.03252573984684513,-0.23871450373145756,0.024594670068696145,-0.028188595262927718,-0.40077516461031354,-0.025437692175311662,0.24314270637111146,-0.0018006597501901034,-0.3968694426485092,-0.3121023594540416,-0.20155445779260792,0.05036028839484592,0.022732653489041823,0.04246450147809352,0.02996743332983106,-0.2491338624691758,-0.023517787050559756,-0.0275357902188276,-0.40028481687121276,0.025315084655741574,-0.036633087271445534,-0.0795628506175193,0.07528157748374606,-0.027394156162924784,-0.0749214198814683,-0.08036431391119861,-0.953435384961111,-0.47809204651497145,-2.7370421719639815,7.262603822415784,0.040471206334289925,-0.016844725504706726,-5.213797264608588,11.8049337513876,-0.25686840023493707,0.039558331917010345,-0.3453754577148897,0.4017149254615121,-0.4808912309055901,-0.07365378608870485,0.02164173706962735,0.02370955689564154,0.005739006118797959,10.136630441013935,0.06338412051665651,-0.025999454114607856,-12.797661783252275,5.811656592598251,-0.5017461612827734,0.09240808665274144,-0.80347874053862,0.7734039716303989,-1.1388046672743304,0.16826370604109267,0.05911085001464165,0.05521589548626006,-0.013565184669497181,-1.0116011852270965,-1.5505537498204265,4.9784341345220895,-3.360413560902606,-1.4295710106685102,0.005301409980952403,-0.09574280812021534,-0.00019663326498480527,0.9705520263105964,nan,nan,nan,nan,nan,nan
4,0.025,Standing,-0.0251387133606972,0.9397031798033928,-0.07021963486757284,0.20871419093781388,-0.0025132357651920863,-0.39621617653749036,-0.19748733810975388,0.2825551357040865,0.054104141120578986,0.021597887519940982,0.046153589655313125,0.03389094440132826,-0.24002600794982235,0.024385417204794434,-0.0281518925879526,-0.40070831048809297,-0.0254220351679173,0.28134122128500394,-0.0015029384288125192,-0.39702477658646673,-0.35832067572658843,-0.16923723000537189,0.04854750617857109,0.02310200562315951,0.039651659163762884,0.032362218743575116,-0.2534092824908282,-0.022909891890725523,-0.027338758308407134,-0.40007603445315715,0.025264269583601645,-0.038974883706062086,-0.08387039480748884,0.08936965980132967,-0.03673082162038054,-0.07913024902589554,-0.08040734827731802,-0.7665163935915376,-0.378477695187065,-2.2205791801201666,5.103546993520842,0.029717060818549433,-0.011999195672750462,-2.561284373451966,7.1223409170882706,-0.148765413832497,0.029005162288898198,-0.22241985767444206,0.2730409108966275,-0.2623008436729578,-0.041850572780341974,0.007340534995023443,0.01337082444411043,0.0031314014788722823,7.639702982778498,0.059544264275516824,-0.03106678759150553,-9.243663254509375,6.463445557447207,-0.3625564432549655,0.07387042682353714,-0.5625684628661264,0.47895708274881194,-0.8550840043304886,0.12157903196684666,0.03940638208409268,0.04175648361112396,-0.010163014427985569,-0.4683592869233104,-0.8615088379939075,2.817616463516722,-1.8673330914911521,-0.8417658288854456,-0.008606873223881371,-0.09591238518819738,-0.00019722860878534202,0.9699304844430773,nan,nan,nan,nan,nan,nan
5,0.030000000000000002,Standing,-0.028314114226456327,0.9382826695738815,-0.07951221040520635,0.2284619942721284,-0.0024081869794511756,-0.39625777460848066,-0.20680106843005328,0.32365838569642075,0.0536214706157495,0.021717844949165357,0.04535438544551202,0.03477248894038823,-0.24098140611790356,0.024239354854661995,-0.02812804754264761,-0.4006592333491431,-0.025410655951779597,0.3080141043787935,-0.0012726430054963791,-0.39712685937148773,-0.38665296182244724,-0.14009480916257783,0.04740356758465877,0.023365330983051547,0.037516161778674145,0.03442634990912439,-0.25618140161795805,-0.022492108479584806,-0.027232672140379274,-0.3999387977153411,0.025231274654028614,-0.03981179808807613,-0.08610943677872226,0.09597491936594188,-0.04142608732058897,-0.08148508782067469,-0.08048721757111868,-0.6350801731518249,-0.28410204590225063,-1.8585151075267028,3.949560666862906,0.02100975714818215,-0.008319614198058291,-1.8627460640598805,8.220649998466842,-0.09653410096589765,0.023991485844875104,-0.1598408419602213,0.1763089078119942,-0.1910796336162418,-0.029212470026487615,0.004769009060997785,0.009815427789976055,0.0022758432275405663,5.334576618757914,0.046059084663228035,-0.02041655700420201,-5.666457219171756,5.828484168558812,-0.22878771878246357,0.052665071978407904,-0.42709947701774764,0.4128262331098546,-0.5544238254259626,0.0835566822281434,0.021217233605572115,0.0274473475632147,-0.0065989859146063055,-0.16738287640280985,-0.44780839424668506,1.32105191292244,-0.9390531400416859,-0.4709677589558301,-0.01597385876013342,-0.09620506611593546,-0.00019754329492875753,0.9694610496872741,nan,nan,nan,nan,nan,nan
6,0.035,Standing,-0.03107536255958583,0.9372713666687299,-0.08760191060652228,0.24406298504120683,-0.0023301405645019314,-0.3962858265631404,-0.2130184833945414,0.36114964164132596,0.053332491204387114,0.021823400869573094,0.04473570367834868,0.03549226324130941,-0.24162353770086842,0.024137179056125616,-0.02811468776780376,-0.4006258082023461,-0.02540299523007139,0.32721483982032173,-0.0010975056282916823,-0.3972080127923676,-0.40273231479078186,-0.12059919778581875,0.046741331602971094,0.023549174910376315,0.03620504256299662,0.0356009768241672,-0.25785920876719143,-0.022242330777895666,-0.02718289699244647,-0.3998547163665507,0.02521133450032499,-0.039863898560005565,-0.08717331035318801,0.09707347033620164,-0.04329758652074387,-0.08268332155347742,-0.08058254486613649,-0.5522496666259005,-0.20226058103032996,-1.6179400402631858,3.1201981538156858,0.015609282989848887,-0.005610390931941447,-1.2434829928976265,7.49825118898104,-0.05779588227247672,0.021111184081547423,-0.12373635343266828,0.1439548601842372,-0.12842631659297252,-0.020435159707275857,0.002671954968769988,0.006685029359404394,0.0015321443416411356,3.840147088305646,0.03502747544093937,-0.016230684175975844,-3.2158705936669247,3.8991222753518153,-0.13244719633753638,0.036768785464953796,-0.2622238431355052,0.23492538300856208,-0.33556142984667775,0.04995554033782824,0.009955029586560752,0.016816269758075007,-0.003988030740724676,-0.010420094385886619,-0.21277471489314825,0.2197101940519537,-0.3742998400309794,-0.23964674656054577,-0.019065459003560895,-0.09665833961124401,-0.0001976825793062817,0.9691976090600773,nan,nan,nan,nan,nan,nan
7,0.04,Standing,-0.033418375381682956,0.9366092957823454,-0.09450457125819567,0.2557772584166753,-0.0022759127317046293,-0.3962999948100444,-0.21692122130975663,0.3981354949766682,0.053185874999347724,0.021912763976586612,0.04427349791535599,0.03605220200200218,-0.24202969850161493,0.02406909492195174,-0.028108492828080357,-0.4006042884627703,-0.025398139364021407,0.3391595538571646,-0.0009969633744810018,-0.3972383652077662,-0.40779327987887776,-0.10613895225609846,0.046495860018740266,0.02365418256637749,0.035463600545986476,0.036329392116561894,-0.25854191721397296,-0.02212789172519574,-0.02718237396082157,-0.39981888399031146,0.025203206658485567,-0.039480690689137586,-0.08749897459082585,0.09507203128911693,-0.043507442195084865,-0.08318243474800927,-0.08068259734913878,-0.4686025644194254,-0.13241417727688526,-1.3805321303346771,2.3428546750936965,0.01084556655946043,-0.0028336493808113978,-0.7805475830430453,7.397170667068457,-0.029323241007878136,0.01787262140270365,-0.0924411525985385,0.11198775213855319,-0.08123216014930493,-0.013616826834775036,0.0012389879446806126,0.004303947915168192,0.0009711732099963969,2.3889428073685783,0.020108450762136076,-0.006070483079715498,-1.0121930176191798,2.892049105944058,-0.0490943168461659,0.021001531200234902,-0.14828840340202853,0.14568305847893945,-0.13654168935630373,0.022887810539984985,0.00010460632498016445,0.007166475247842051,-0.0016255683678851065,0.07664157417359502,-0.06513284752756843,-0.40028780941694264,-0.04197113486819859,-0.09982263890637005,-0.02001049660045888,-0.09723319156001045,-0.00019770110833203475,0.9691293966299337,nan,nan,nan,nan,nan,nan
8,0.045,Standing,-0.035101956194875605,0.9363715969821635,-0.09956685535496772,0.26009658150145054,-0.002273254027418703,-0.39626936316794864,-0.21288900428145677,0.4298642603999537,0.05332531619077362,0.0219473997719279,0.044133526674232135,0.03647242617599481,-0.24177487852436833,0.024083711639039163,-0.028141516895737472,-0.4006144331248112,-0.025401117009118696,0.3428948339394258,-0.0009790394054603581,-0.3972084461200907,-0.40240398891502466,-0.09435853664661455,0.046622315156962205,0.0236842289405957,0.03526864064864384,0.03665338688781688,-0.2582845373911791,-0.022141067181774648,-0.02722938861170425,-0.39982869318437214,0.02520624106955886,-0.03869924341902248,-0.08728598425813493,0.09297940879561757,-0.042789985236938236,-0.08327971670925927,-0.08078263618340485,-0.33671616263853027,-0.04753976003636659,-1.0124568193544088,0.8638646169550412,0.0005317408571852908,0.006126328419148292,0.8064434056599752,6.345753084657089,0.027888238285178488,0.006927159068257544,-0.027994248224771145,0.08404483479852659,0.050963995449318844,0.0029233434174848784,-0.0066048135314230585,-0.002028932408177632,-0.0005955290194580886,0.7470560164522415,0.0035847938041287525,0.0059838175350938865,1.0778581927706146,2.356083121896782,0.025291027644387676,0.0060092748436420575,-0.03899197946852774,0.06479895425099663,0.05147596455877157,-0.0026350913157816673,-0.009402930176535772,-0.0019618388121332084,0.0006068822146586559,0.15628945402302155,0.04259806653818575,-0.4185244986998713,0.14349139162932584,-0.019456392249999663,-0.020007766853213035,-0.09792908838871801,-0.00019765778953570353,0.9692045006115693,nan,nan,nan,nan,nan,nan
9,0.049999999999999996,Standing,-0.03631046965021602,0.9364786912448354,-0.10327193867875388,0.25990492024195977,-0.00230310899168912,-0.3962155924691024,-0.20536201657221684,0.4627768922879626,0.05362138655914517,0.02194503189882094,0.04424686433241397,0.0366206044063013,-0.24119413584582777,0.02414736385216469,-0.028187933457900514,-0.40064077283059424,-0.025407980727914378,0.3400557488788877,-0.0010338505789710111,-0.39712376737238925,-0.38837633440874136,-0.08468796809401534,0.04705380914908179,0.023650429637954908,0.035548657705660354,0.03664391735170514,-0.25723740084171043,-0.02226158693939888,-0.027313588900297572,-0.39987690091270206,0.02521864639489501,-0.037795354239462516,-0.08679330842578169,0.09077735424477319,-0.04160372923902071,-0.08315745919413331,-0.08087886173861206,-0.24170269106808268,0.021418852534377933,-0.7410166647572336,-0.038332251898154146,-0.0059709928540834095,0.010754139769247897,1.505397541847984,6.582526377601783,0.059214073674310724,-0.0004735746213916977,0.022667531636366527,0.0296356460612974,0.11614853570810878,0.01273044262510593,-0.00928331243260843,-0.005267941156608977,-0.0013727437591365963,-0.5678170121076251,-0.0109622347021306,0.016935749540293716,2.805530901256658,1.9341137105198425,0.08629879842391712,-0.006759860528158702,0.056003411403303324,-0.0018939072223478765,0.20942730989374134,-0.02410395152484676,-0.01684005771866453,-0.009641545665987652,0.002481065067229834,0.18077783591199234,0.09853516647064703,-0.44041091016887496,0.23725119958350466,0.02445150302519105,-0.019245111041440194,-0.09873318902507397,-0.00019763881070517927,0.9694176877344786,nan,nan,nan,nan,nan,nan
