generation,min_cost,mean_cost,best_cost,simulation_time
1,17.82,18.8424,17.82,17.82
2,17.08,18.7504,17.08,17.08
3,17.3,18.668,17.08,17.08
4,17.96,18.8536,17.08,17.08
5,17.98,18.5592,17.08,17.08
6,16.06,18.4936,16.06,16.06
7,17.34,18.5352,16.06,16.06
8,17.42,18.7192,16.06,16.06
9,16.7,18.584,16.06,16.06
10,17.5,18.6936,16.06,16.06
11,17.32,18.392,16.06,16.06
12,17.34,18.4656,16.06,16.06
13,17.82,18.7704,16.06,16.06
14,17.34,18.7776,16.06,16.06
15,16.18,18.34,16.06,16.06
16,17.36,18.7216,16.06,16.06
17,16.86,18.4496,16.06,16.06
18,16.44,18.4312,16.06,16.06
19,16.68,18.476,16.06,16.06
20,16.82,18.6792,16.06,16.06
21,16.64,18.6528,16.06,16.06
22,17.1,18.4664,16.06,16.06
23,15.620000000000001,18.2488,15.620000000000001,15.620000000000001
24,16.28,18.473599999999998,15.620000000000001,15.620000000000001
25,16.259999999999998,18.386400000000002,15.620000000000001,15.620000000000001
26,16.939999999999998,18.546400000000002,15.620000000000001,15.620000000000001
27,15.64,18.4008,15.620000000000001,15.620000000000001
28,16.520000000000003,18.5544,15.620000000000001,15.620000000000001
29,16.66,18.2608,15.620000000000001,15.620000000000001
30,16.7,18.5576,15.620000000000001,15.620000000000001
31,15.96,18.292799999999996,15.620000000000001,15.620000000000001
32,16.34,18.3304,15.620000000000001,15.620000000000001
33,16.84,18.4424,15.620000000000001,15.620000000000001
34,17.38,18.5824,15.620000000000001,15.620000000000001
35,17.08,18.3376,15.620000000000001,15.620000000000001
36,15.920000000000002,18.4592,15.620000000000001,15.620000000000001
37,16.9,18.4232,15.620000000000001,15.620000000000001
38,16.759999999999998,18.2488,15.620000000000001,15.620000000000001
39,16.8,18.3832,15.620000000000001,15.620000000000001
40,13.34,18.2136,13.34,13.34
41,15.08,18.241600000000002,13.34,13.34
42,15.860000000000001,18.356,13.34,13.34
43,15.84,18.576800000000002,13.34,13.34
44,16.88,18.316799999999997,13.34,13.34
45,16.74,18.368,13.34,13.34
46,17.04,18.450400000000002,13.34,13.34
47,16.82,18.62,13.34,13.34
48,15.780000000000001,18.2224,13.34,13.34
49,16.619999999999997,18.4472,13.34,13.34
50,17.42,18.7176,13.34,13.34
51,16.12,18.5304,13.34,13.34
52,16.88,18.206400000000002,13.34,13.34
53,14.74,18.448800000000002,13.34,13.34
54,17.14,18.5952,13.34,13.34
55,15.760000000000002,18.2472,13.34,13.34
56,16.419999999999998,18.6048,13.34,13.34
57,16.419999999999998,18.663999999999998,13.34,13.34
58,17.0,18.3896,13.34,13.34
59,11.760000000000002,18.2648,11.760000000000002,11.760000000000002
60,16.939999999999998,18.508,11.760000000000002,11.760000000000002
61,16.68,18.7696,11.760000000000002,11.760000000000002
62,14.7,18.330399999999997,11.760000000000002,11.760000000000002
63,16.599999999999998,18.5064,11.760000000000002,11.760000000000002
64,16.48,18.1056,11.760000000000002,11.760000000000002
65,16.419999999999998,18.339999999999996,11.760000000000002,11.760000000000002
66,16.34,18.4784,11.760000000000002,11.760000000000002
67,16.46,18.3952,11.760000000000002,11.760000000000002
68,15.0,18.2152,11.760000000000002,11.760000000000002
69,16.299999999999997,18.64,11.760000000000002,11.760000000000002
70,16.46,18.355999999999998,11.760000000000002,11.760000000000002
71,16.5,18.3008,11.760000000000002,11.760000000000002
72,16.5,18.42,11.760000000000002,11.760000000000002
73,16.22,18.4128,11.760000000000002,11.760000000000002
74,16.38,18.551199999999998,11.760000000000002,11.760000000000002
75,16.8,18.153599999999997,11.760000000000002,11.760000000000002
76,16.200000000000003,18.288,11.760000000000002,11.760000000000002
77,15.700000000000001,18.0264,11.760000000000002,11.760000000000002
78,15.04,17.985599999999998,11.760000000000002,11.760000000000002
79,15.64,18.073600000000003,11.760000000000002,11.760000000000002
80,16.16,17.937599999999996,11.760000000000002,11.760000000000002
81,15.72,18.4392,11.760000000000002,11.760000000000002
82,16.0,18.1664,11.760000000000002,11.760000000000002
